source_id,scenario_id,mass_green,mass_amber,mass_red,mass_theta,mass_sum,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,ESC-01,0.703471,0.0,0.0,0.296529,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c79ffdc3a5e3f0acf83bb8aefb030798e0896ce92c73d5cad50000c346f5836a
EXP-01,ESC-02,0.568904,0.068163,0.0,0.362933,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,40a0e61a321231bfa45310ef8d4be5ba04423834cd6bf1079a99f288ce809023
EXP-01,ESC-03,0.685122,0.0,0.0,0.314878,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,03d34a8d52d5ef1ea552c36e9e3d1081c031a9968468fd880417c75e77db0e4b
EXP-01,ESC-04,0.647387,0.05632,0.0,0.296293,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,27071cece24b809d4f4ba72fefc4f6d4be434dc234f8a902f1f63c6afa9ebee1
EXP-01,ESC-05,0.362198,0.283975,0.0,0.353827,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bf578d58f827a29eb946591100abeea4cecd911ab194c73da0e060e70f5f739a
EXP-01,ESC-06,0.496856,0.162284,0.0,0.34086,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,97debfcb3b7a2359de167b75b4850c94210ecbf59d3b42cd364bc4eaffbe6fe9
EXP-01,ESC-07,0.490026,0.164343,0.0,0.345631,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,296e977a69d851b65642f57b2c38cb95b7cc09e0a31b529ee4264449d063209f
EXP-01,ESC-08,0.383815,0.295481,0.0,0.320704,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f93593f37ece94bde32e82aa61748fdc90dcf06edfbae61f22ea922d928612bd
EXP-01,ESC-09,0.452215,0.250541,0.0,0.297244,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,296ef29c8b507c7cc5406aa543675e3e613e07ce14424f54377a726f45995248
EXP-01,ESC-10,0.439573,0.217753,0.0,0.342674,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,76b161d9e2a1185de4ea1c83f4430ae3e046d44b9499a3f1c6a8f7f56d7119b2
EXP-01,ESC-11,0.493556,0.24426,0.0,0.262184,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a15adb8cd2fd70b04d4fac4464fdb645318e9411dbaaab9638b090b373590bf6
EXP-01,ESC-12,0.162234,0.433101,0.126499,0.278166,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,93c579c90761e9d09bf2795173d3763aed74ffc689e753e714247e766a169087
EXP-01,ESC-13,0.290971,0.372727,0.0,0.336302,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3c9c331a1bf96591152065677eb4c2f1535a9607e77962b79c67f5c1534e3c3b
EXP-01,ESC-14,0.170904,0.429094,0.115159,0.284843,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,71d3c3e1b312ccbbb523c0f6755f88d1898718f54084b86c78a5557023568bac
