expert_id,expert_role,experience_years,base_reliability,bias,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
EXP-01,PROJECT_MANAGER,5,0.68,-0.056,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1e323af5919f9392e113d2cf5fbcfcd20ea470118d3f3eaad9440ccc61a66f82
EXP-02,SCHEDULER,7,0.7,-0.048,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d1de2d7c5ed784a6b97618f6f59c58fdea83730b2c020d9e13acf2cc966aea5d
EXP-03,COST_ENGINEER,9,0.72,-0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,56b97073ef9bd7669e67175a0263ad6fc6d10ae3f20bc4611a0c2ed3e5111475
EXP-04,RISK_MANAGER,11,0.74,-0.032,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,aac8eb9be0063062f04f9ebff2d168cb67197671bef6a95a0051d2ce37a8b96b
EXP-05,CONSTRUCTION_MANAGER,13,0.76,-0.024,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2a813da49fe90a0f00e63d91bae5455748bddb337fd84411975821c819ea4106
EXP-06,PROJECT_MANAGER,15,0.78,-0.016,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2acc86f799b2dd45f8673052e41df585204aac18d9c7d308cca2addf382820b2
EXP-07,SCHEDULER,17,0.8,-0.008,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,884e2dcafe0ec767fe5a3ef5c499d07b7eca4bad212030925adad574af5c83af
EXP-08,COST_ENGINEER,19,0.82,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8ca4d9638eb4f058b09fee73722495c9b06f60301a694688c34a9f17ab01d117
EXP-09,RISK_MANAGER,21,0.84,0.008,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fd6303960caca5def62da8d79cda4fe2168189372f72ec6552b00161bd471e74
EXP-10,CONSTRUCTION_MANAGER,23,0.86,0.016,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,263a73efa575a0f8edb3e4b020fd1cc19b1e5f170b317cdea2466c66f412423b
EXP-11,PROJECT_MANAGER,5,0.68,0.024,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b6c66c9bf768c910c02a70bfa8d3a48edb2f380929d5e0c5327b3e22365b6993
EXP-12,SCHEDULER,7,0.7,0.032,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e52be1444c29e48c3fe49cecef721f227b9c2a53d0c87b256f7dfc8eb9658252
EXP-13,COST_ENGINEER,9,0.72,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4847211532f437590a7586bae01baa3259169dd989302ce5ab979c284586772c
EXP-14,RISK_MANAGER,11,0.74,0.048,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,302099e9c544f08607d63173780736e052b1dc0038b10d246bcb25c1413657ad
EXP-15,CONSTRUCTION_MANAGER,13,0.76,0.056,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B2-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3b09a636dc35953d65dd9f75b0436729b4411ac66975a695ca8862813721d566
