path,sha256,git_object,tracked,moved_since_v32
assets/js/categories.js,500f5f279f324f422d6148021ff81dc5111e6ed967e129a6a56f1826cc78a604,ad7b3f9d565ea429089a95dfa184160ebe6a5066,TRACKED,no
assets/js/decision-ui.js,9c8a8db5d0a5ba3cb521f87796919d1e856066fbe4e6d1f3c785e35336afaa05,73420f9b44aa9095f376cf368cccc0c4887d2edd,TRACKED,YES
assets/js/decision.js,fc44259d6a2ffa0b595cc72532c961be8ce574a317dc2b5c36598aed799a1bdb,625b5ba03c3fec09359ac4a1c9ce0143c61c0cfb,TRACKED,no
assets/js/deepdive.js,9b19229e7390b01dd81fb3499e1f28d4a99874ebafa056954691d3454d1760d1,9c72d62495dcb15cb46138edfff5faf7ae7351dc,TRACKED,YES
assets/js/ds_defensibility_evidence.js,4f2aa5779dee712a3879b537cd25706c968f282671e5f751d311ce1a28c2d593,4b69f2725a5be82ad55d395d938a607d167c06be,TRACKED,no
assets/js/taxonomy.js,15608ba1194d53674a6b92cc14a3d449073593731227630729c8b8c2e2563b3b,3d4d4b2e11b367446128d5aafe3011b67a6e2672,TRACKED,no
assets/js/workspace.js,444535e9bb76af7fde3aa3901761480b8c4a4f810de08daa8c9db8ef64b8ca49,ec67f5f6854bfea5e80bef7dd59d5355f691c86e,TRACKED,no
assets/questionnaires/debrief.json,8064c60b004706c37dfb88ae6de1f55f56e97014979940baf1645a257ee5b3d8,bad1754659a6e5b53f6662efa51734ee628730eb,TRACKED,no
assets/questionnaires/intake.json,400195fb47d8f8d68ab4defda6a1aff7ea6abb714b25d1f9a4040d2b216078b6,d5a93305c475357fb70f584a14ea1ee3ffbf1602,TRACKED,no
code_audit/run36_100_target_scientific_reaudit.csv,964a62d87c41813ccc048241707a636f301c4498fe7cfe9630412746de62db85,86bf6f2800a55b78d9a13bf6d81ab1652060b13d,TRACKED,no
code_audit/run36_closure_participant_package_v13_checksums.sha256,7e00bd82fe57e0ab455b8e6156406f25dded62f46a7769883d626eeb1e2cdc26,fcdda895197d329bb53e55b407ef279d742be6ba,TRACKED,no
code_audit/run36_controlled_study_population.csv,0a87604c12f9cfb1541a857a6cb121102138f2aecf37f785be3ef6aa59579ea1,aa4e5b238f21f1d5e2a7d217a3e8fa51d1f5885e,TRACKED,no
code_audit/run36_instrument_qualification.csv,827a455af1a94b3e95408dc48e4e5bb5444853603334d07f0df1f198ba50e846,0d6123c71b1c702197e66926dd2d849166b1ffd9,TRACKED,no
code_audit/run36_parsimony_crossrun_reconciliation.csv,1bf79afd478af874ea7ccd4903ba0611dc0ae3f40f24c3d210f1f702e567baef,d48d7b23b1854947fda38f268d8bb558a952ae44,TRACKED,no
code_audit/run36_population_reconciliation.csv,0b07496f73d27542aaa81d82309d3bc081467c4d52ea0fea92fdd685760f6e33,da62ce5d6ac30a1edf582912e9a2d73879bc8ac3,TRACKED,no
code_audit/run36_production_tree.sha256,3e9f5fcef3b8069f8b01249c21e0bf37252ec2c5942f6925ad79dd3ad86d1358,738c403af7d1aa9d6a1b479fd432140ba6df01dc,TRACKED,no
code_audit/run37_browser_qualification.csv,e1ac3a68bd17b256ba0d7cf76f3cdbad35bb05068cbc60dbb5bdcfd84fc2481a,8d28d40a1a40ebe4e9471cab30b9142dcc3f3774,TRACKED,no
code_audit/run37_defensibility_reconciliation.csv,bef9d4e20e92f2a918f76db79ab5cdfe91cfcbf5613e8b8d2e582401c2e997f0,f1a56eb01e3f1c3f3b3c39b051c9dc46c10a6c68,TRACKED,no
code_audit/run37_execution_census.csv,2d7761808756cb01904318dd0b80455e0b728d766635ae49544d63fb6d3d82c0,acc408e4be697adab80b8a7036db2e18ada15739,TRACKED,no
code_audit/run37_parsimony_independent_reproduction.csv,4f115669ea2db063a6d0ea2b3d4035b69095c5fe3582c06dddebaca68473981d,dde171fc7bdf84f191a3af5445c5b9960a7f7824,TRACKED,no
p0-baseline/module_renumbering_map.csv,fa0502d8fa707408cfa5436b1eac3271869d1e8eb26025263bec5efe287d3589,3386e282c4e5f2ef72257ff0ec9486e4774638ba,TRACKED,no
research/freeze/INSTRUMENT_FINAL_FREEZE_RECORD.json,28795f9a10d45c3714b2fda1a34c826794b6146364d114b389fb368f2651176a,22f40b9acb744433de37cd802ffa3dae23b85c64,TRACKED,no
research/freeze/INSTRUMENT_FINAL_FREEZE_REPORT.md,ee0f66703e7aa678b8f906835a4083e9d3f6950fb01fac3e1ac5098f2c751241,3365f4890155b0e8fe7d600abeebb49f097442d1,TRACKED,no
research/freeze/INSTRUMENT_FREEZE_CANDIDATE_MANIFEST.json,da2366a0b9fb15e6196dc4bdc70ce487702d82acd1643b9301c84be4fffa85ae,cc9bc2a58f78ecd86dd84a78d179c7eb75840944,TRACKED,no
research/freeze/run37_candidate_behaviour_digest.json,99a4dbe16f8dfa7ee9d50a28238275ea60e61f259d69bbca015e98011102445b,304fd2ab1f54b34bab89106b915e5853c634c8a6,TRACKED,no
research/freeze/run37_final_freeze_gate.csv,b343fd5a9e8fa1be087ba7f7b9ce407b2002991c22d36e13e5c9ffe2aa993757,ea37f151e0962e9dc0a4103cf492eea79390d35f,TRACKED,no
research/freeze/run37_freeze_candidate_identity.json,264daf003e6f0f1dcd32290f824d857231ae6558c1c9a9be28feff2830f5fc29,63b33b636cee50c8b2bd114395799fe39a2d3692,TRACKED,no
