project_id,period_id,applicable_requirements,applicable_requirements_assessed,compliant_requirements,noncompliant_requirements,unassessed_requirements,environmental_compliance_rate,severe_noncompliances,overdue_corrective_actions,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,7,7,6,1,0,0.85714286,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,533e1bee8ba1c7a39d53e693e7169b97e1f38ce0f34e1a1fecb38876a8fb39d4
PRJ-AIR,P02,7,6,5,1,1,0.83333333,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fcdebaac28fa935ff363a81f999cd4ced9aeff7008bfb15a0ecbb8b963ebede8
PRJ-AIR,P03,7,7,7,0,0,1.0,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3a0cc9359f8fdc5aedc9ec60329589edaed6bd721c8f60a03f3eca1a471c367f
PRJ-AIR,P04,7,7,5,2,0,0.71428571,2,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,60ba3f561fe821a194230a4886c4feccc40a10d59d51f4455cf971211efa533e
PRJ-AIR,P05,7,7,6,1,0,0.85714286,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5750a9604d06ee5f4ab92b42989d3aa5b02027fece44a55809b2f682dea9f662
PRJ-AIR,P06,7,7,7,0,0,1.0,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7677b41f262f19e23c1108a17558df0deeb5748a31161457af18e64ee7a1faf4
PRJ-DCT,P01,7,6,5,1,1,0.83333333,1,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e3b5c683c3a90d5d988363ca6f88d0cf4be865e2d9b8643963bc8861927dbd5a
PRJ-DCT,P02,7,7,5,2,0,0.71428571,2,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,11e9696d43cfa2e843e8532b701d72fcd2df3c28999045e144d7a18912a76f6f
PRJ-DCT,P03,7,7,7,0,0,1.0,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ad7ea34c251c8cddea43cd96eadf9c5ac7766c670ca82e7f59253a4b961764f0
PRJ-DCT,P04,7,7,5,2,0,0.71428571,1,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3087cfe938905e963f0c88ff246713958930ef77fb314278108b4ee1e27ca48a
