project_id,weather_event_id,affected_activity_id,critical_at_event,productivity_loss_fraction,ground_truth_schedule_impact_days,excusable_flag,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-WX-01,PRJ-AIR-A09,True,0.053458,0.57,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,97245f4abe9cb514b3588c5196ef010d0aea0afa63aa5af43108aa5214d370d1
PRJ-AIR,PRJ-AIR-WX-02,PRJ-AIR-A05,True,0.091735,1.22,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3d78329cf93f259dcfaea0dc4391e71aecd53814a238ee39b6a08fabd6a210ad
PRJ-AIR,PRJ-AIR-WX-03,PRJ-AIR-A06,True,0.058573,0.47,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,955940189397c9b704c9564cc5a9c75dbde2ae3bc73c1f9504a09f8c922a0fb3
PRJ-AIR,PRJ-AIR-WX-04,PRJ-AIR-A07,False,0.067522,0.216,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7ee98d4e5d3ebcc08d4f9e621108e8fdb264ab58af19449710b72ed3cbc5798b
PRJ-AIR,PRJ-AIR-WX-05,PRJ-AIR-A04,True,0.078812,1.05,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d466c0d34e4d51757b5d9fedb25e67b30cd25022bb723ef82168fbf5fa78bcf8
PRJ-AIR,PRJ-AIR-WX-06,PRJ-AIR-A08,True,0.062844,0.5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,765e63b558d63f9c393d8676e48e539b319ba433c65c9cb6c1ad33e61bf3f632
PRJ-AIR,PRJ-AIR-WX-07,PRJ-AIR-A07,False,0.133265,0.426,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e58d65607f3c21ef1d62c28df8812632181313c43bc9df1acc2766bb0b5eb350
PRJ-AIR,PRJ-AIR-WX-08,PRJ-AIR-A07,False,0.10356,0.414,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,16edf9f9e22ff5162f3fa1b7bf752d959196e32754de41de626e11f2d7609e3a
PRJ-AIR,PRJ-AIR-WX-09,PRJ-AIR-A04,True,0.165771,1.33,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,31cd3bb0eca0bdb76b22eb0795bd1cf346cf42e39d20c9d19f8088e95af58240
PRJ-AIR,PRJ-AIR-WX-10,PRJ-AIR-A10,True,0.046712,0.5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3ea21a63b0cff0535f18323398b4331da083067593c63095da827a9985d14911
PRJ-AIR,PRJ-AIR-WX-11,PRJ-AIR-A05,True,0.12291,1.64,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6da5dfab25802d94de8e6d7c71fdd7381af8ca250796ddd80ba02e2a9bec1f70
PRJ-AIR,PRJ-AIR-WX-12,PRJ-AIR-A05,True,0.20326,1.63,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cd12f635cb4e82e522d3a993f329d1b429893dd810d97f72d693e5e3faaca3f3
PRJ-HWY,PRJ-HWY-WX-01,PRJ-HWY-A07,False,0.057665,0.186,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,706a648b7247878d33c498afc769cba408f1a2d508f424441d1a90cd6097bf11
