project_id,period_id,period_number,period_start,period_end,status_date,status_day,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,1,2026-01-01,2026-02-27,2026-02-20,50,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,38474a05f210f58216f3bcd5707e055abd85bca0eb5efa10bcaffd9e3a73b733
PRJ-AIR,P02,2,2026-02-28,2026-04-27,2026-04-11,100,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e774277bed938b286868f7535acd0d5b0ab714e3135ccc93cec0a65588568faa
PRJ-AIR,P03,3,2026-04-28,2026-06-24,2026-05-31,150,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6864855b35089422a383363e62730d18b3157a332c250aeaf11cc3884361ffc0
PRJ-AIR,P04,4,2026-06-25,2026-08-22,2026-07-21,201,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9b13c16bb46c1e44a30f091690886a8818784d138f1db932b09c2a57095ee24d
PRJ-AIR,P05,5,2026-08-23,2026-10-19,2026-09-09,251,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,be311350352996f81e316680dc0271ec0bcca5e39b98bbbafad34442723ce5d5
PRJ-AIR,P06,6,2026-10-20,2026-12-17,2026-10-29,301,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6e9ef6466adbef6eeab5f7367fc6782078f1b615b172ab505fd3a5420d44b89e
PRJ-HWY,P01,1,2026-01-22,2026-03-13,2026-03-07,44,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e9ead0c87c1f12dd1f828772cb23e9c9fb638437ffcbd96f5fb7b3e4b9744dbd
PRJ-HWY,P02,2,2026-03-14,2026-05-03,2026-04-20,88,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b91a9f5874915721183fb03258ddc5ce17229a9f0a8df54643d68e958d1fc7a3
PRJ-HWY,P03,3,2026-05-04,2026-06-23,2026-06-03,132,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a44ad30b3af25caadb36bb805d0bec0383d642657562ef05a73842b210bdf94b
PRJ-HWY,P04,4,2026-06-24,2026-08-13,2026-07-16,175,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9d9125aaa31203923f21343de440df57b345a34693cd2d44892430eb8348f4e9
PRJ-HWY,P05,5,2026-08-14,2026-10-03,2026-08-29,219,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5c20b7f0fd177afaf5e68e0a314bba68ba75fbfd2ece717f5c5208cee7ecb5b2
PRJ-HWY,P06,6,2026-10-04,2026-11-24,2026-10-12,263,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5f8fb837d07fbef6d96745fa2805e67207e046b85f0bf0cfae7bd63aa1457647
PRJ-HSP,P01,1,2026-02-12,2026-04-09,2026-04-02,49,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,249740b9e6860b004d81b567378738401f92533a2a75d8ca0562c545b7223575
PRJ-HSP,P02,2,2026-04-10,2026-06-05,2026-05-21,98,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,808398060d8505c3a7839f60f179956a97e1b2614bdcababc181c7a47dd8bc81
PRJ-HSP,P03,3,2026-06-06,2026-08-01,2026-07-09,147,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8968b10e89c0eaae2bea7d94d3082700b14cc69bf5bc373ce4a7f310d27f83eb
PRJ-HSP,P04,4,2026-08-02,2026-09-27,2026-08-27,196,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,615786360128da9a710d42db99c2d5e7160663104270e9414ee1ed3b7d426559
PRJ-HSP,P05,5,2026-09-28,2026-11-23,2026-10-15,245,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ed73518ab0a2e2415a2940a77e8576700604056989b61f4259d25e00984095b4
PRJ-HSP,P06,6,2026-11-24,2027-01-20,2026-12-03,294,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1d0c47cb86e9ced3069cbdcb3ebbf7508f9cf6d3f412fd3eb4f0fff7d37b1c46
PRJ-WTR,P01,1,2026-03-05,2026-04-16,2026-04-11,37,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,34c85a37c0493b97f60c1f29f80667c92496597249529d7e95cfd89fa421a4e1
PRJ-WTR,P02,2,2026-04-17,2026-05-29,2026-05-18,74,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,dd1d9b4b26c52f8e3c2fc517326f61c2dbc6d0cb7208c2762a6f23925a003443
PRJ-WTR,P03,3,2026-05-30,2026-07-12,2026-06-24,111,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,290acdd39c9a409fde779e9daaaee3af3c44515e3058dfab992d5a677375802b
PRJ-WTR,P04,4,2026-07-13,2026-08-24,2026-08-01,149,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b42b999e9072ba9564167bc69b1d99ad88059386e60142c2ca95819eaad1cd9a
PRJ-WTR,P05,5,2026-08-25,2026-10-06,2026-09-07,186,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bce19ef29662bea71b824d06a38d158e60b1200c6ac7fcf18fe158a5eb4dc9ef
PRJ-WTR,P06,6,2026-10-07,2026-11-19,2026-10-14,223,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8a234f9e1f1b8cf9c4fdfb609b219344d0a44526b1f457571be3c4c91fc6c2af
PRJ-RAL,P01,1,2026-03-26,2026-05-16,2026-05-10,45,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3c7abe40af9d3e7883a6f463501d55c7b19aece572aded5ea316bdda772f614f
PRJ-RAL,P02,2,2026-05-17,2026-07-07,2026-06-24,90,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b7f0f2525c00f4a45368e811676dd42d6501f94e95ad53d9e003414c3b69a5ba
PRJ-RAL,P03,3,2026-07-08,2026-08-29,2026-08-08,135,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b276b005cf6ab95e943db6136c6e34df5c0e6357748a212a6ddbc6e428e4c299
PRJ-RAL,P04,4,2026-08-30,2026-10-20,2026-09-21,179,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d257ee84113878cdd4dfdff5f7f8813198ca93e30e9032089aa029c640facdfb
PRJ-RAL,P05,5,2026-10-21,2026-12-11,2026-11-05,224,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8c0374c28a14d6ee8943d1de76dc4a36ae287257dad3e7a569b1d53a8d8b4cbf
PRJ-RAL,P06,6,2026-12-12,2027-02-02,2026-12-20,269,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,35785b527816577e0746fae7dfb5fe5445f4cd5450be8b53a9abee7ef847c78d
PRJ-DCT,P01,1,2026-04-16,2026-05-29,2026-05-24,38,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2b3728f93e4f729d08245fbc59e1ca022f207a81d7f412fe970f14c5af8614ff
PRJ-DCT,P02,2,2026-05-30,2026-07-13,2026-07-01,76,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c9d1397542a7f1fd3f5163503ff2ea4db3ec9e84c01d3da9e4984a24e7047d5c
PRJ-DCT,P03,3,2026-07-14,2026-08-26,2026-08-08,114,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f531310176e47b0ac78c5840f4bf7ec29a4dc428029ac4491a66ad29efd5b98e
PRJ-DCT,P04,4,2026-08-27,2026-10-10,2026-09-16,153,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9e95045a589fd510ba31aaeb71aea6c916167ddb11eda43e4b4dd4ddbaa4e392
PRJ-DCT,P05,5,2026-10-11,2026-11-23,2026-10-24,191,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,46b2de10f057835d6379c3bffa5544a5a24520e9b9fe3060d1352d9e648248f3
PRJ-DCT,P06,6,2026-11-24,2027-01-07,2026-12-01,229,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cc5d715bd18ca4d054999162d11947e52f86dc647f615a3ff07ed7547373afa2
