project_id,entity_id,entity_type,priority,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-ITEM-001,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4860e572d7a05d805c37af596f527fc2312c735403f652fe499db45cce4699fa
PRJ-AIR,PRJ-AIR-ITEM-002,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,32e2ca97bcf256481c207cb3dc7d9dac7c9860892e68f2af2cabb2315b77ca74
PRJ-AIR,PRJ-AIR-ITEM-003,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,979ff908d5f762b4b34e298a0e7bc475faf6027e2e6b0b234ac6c9b687d99ba0
PRJ-AIR,PRJ-AIR-ITEM-004,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,90bc6254d3161f11f7b09ff00107a684f581cf4f0f4b949269f8d9f306b57c3a
PRJ-AIR,PRJ-AIR-ITEM-005,LONG_LEAD_ITEM,CRITICAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0c26b74715fecebb7f6544cc90bf8976d654c3f999f757839190a88f9c2867d1
PRJ-AIR,PRJ-AIR-ITEM-006,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1929c72cf2c2b014a2f8b1bc8a412cbeaf5e4acd58a68f4005fba4b0e941abde
PRJ-AIR,PRJ-AIR-ITEM-007,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e18982bf0b13881cd37e462b2fd865a83ed3e3cf8bc99d58c8ceba57810f04d4
PRJ-AIR,PRJ-AIR-ITEM-008,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,60dd29b52774e47076b2c74099b7607031c1f81c79c876a0d409cf1554b6a39b
PRJ-AIR,PRJ-AIR-ITEM-009,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f518bb27d430e973080df6406aabbea2df11ba8c1a56b5c7724fea3937962af4
PRJ-AIR,PRJ-AIR-ITEM-010,LONG_LEAD_ITEM,CRITICAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cac1f7f8c46b31afd83b0de7ed24eeb0b2a208cd58948e9d1e82f901cd86305b
