project_id,decision_rule_id,rule_branch,application_count,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,12,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,588c799c212d0febcfe11a2410a356a6022dd8efef045f77ce3753ad8e3456dc
PRJ-AIR,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,84,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e5a1c4f350b389ca9b4b159876c6564951681c36afc4df391582116af3c15642
PRJ-DCT,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,13,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0b724644a513628f907f73f3af0d83e3f1b5a3a2e822460734e9d0c4ba7650cc
PRJ-DCT,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,83,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5b9f78709cc2dd439de3e528e2693cd6723f37b3497c309755aaa7e0a3477c20
PRJ-HSP,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,21,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3e15bc3dc14982c85ca351e0e89f9dda175380e3f7d9c6e6ea5e335a326e2889
PRJ-HSP,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,75,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3cbcd789ad86e5bf8778ee26e8c21ddcbb18f71276e2a5083f54135f9b2accd5
PRJ-HWY,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,15,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,31b2c071670b151066bded44814d90f907791944cc8c08a1a24617db6e0b96a3
PRJ-HWY,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,81,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2d2026d768723bab4c53d4f50b0402326f6f0395a0c83212a5d45aa1dbca72d3
PRJ-RAL,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,93f4129ccbd8acdefd0f834b2323177c60b69ccb719b99ee4c5b854d7265fc34
PRJ-RAL,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,74,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c37a585de4cf1d8a363e04b48f99b7f6de4d0da8b04a3cd7452ec1499227a955
PRJ-WTR,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,22,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,879e7cb6a3b42af48923e2a14f0a1aeb1a29f7977d432ef48749e3b4170b755d
PRJ-WTR,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,74,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7565a23db2c039927d0ca767048fcbda3a0a7f8c566f76e55f48d54349752dac
