project_id,claim_id,event_sequence,stage,event_day,event_type,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CLM-01,1,NOTICE,87,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b133f7f1a8211504dada5dcc0b09a70a14f8ef62a66961f6d5182d95d3f8090d
PRJ-AIR,PRJ-AIR-CLM-02,1,NOTICE,122,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ccef672f308d6fadc6b3893b92f59f703c28a8b8344868c7c6cb58fb199d78ff
PRJ-AIR,PRJ-AIR-CLM-02,2,CLAIM_SUBMITTED,140,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,826dbd809a493fc4e3cf9a83cb8e5988f026e7fa7085b809cd122f798dab297a
PRJ-AIR,PRJ-AIR-CLM-03,1,NOTICE,157,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,250d50b0d44d9dcc351ec3208f6b8ec0dbb091cc09f6a4334121801502a657cd
PRJ-AIR,PRJ-AIR-CLM-03,2,CLAIM_SUBMITTED,175,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,324386d585d56fb639c2f728462b0567057c1f69ea721c1c27a133a386339832
PRJ-AIR,PRJ-AIR-CLM-03,3,NEGOTIATION,193,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,96962f33b3dfae8a5721d3715ecb6cdc147685cd523e06b19b24ca819f779bc2
PRJ-AIR,PRJ-AIR-CLM-04,1,NOTICE,193,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,008cb7eb284380604373d408719f5b22c86576325508208d8ca37f2523855866
PRJ-AIR,PRJ-AIR-CLM-04,2,CLAIM_SUBMITTED,211,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,82c26234d6cafd846ba6ce4bc3d85e8b3b9a4c49e85642c1e203a3b06e4a6a95
PRJ-AIR,PRJ-AIR-CLM-04,3,NEGOTIATION,229,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,87d2668803a6fae2bc51c8ab29bac336926043424b76ed0f74cc6b5866fa6050
PRJ-AIR,PRJ-AIR-CLM-04,4,MEDIATION,247,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,533622d1b39adf51e442413c479d8781fcfc86579ea501a169f7060aa9a79d21
PRJ-AIR,PRJ-AIR-CLM-05,1,NOTICE,228,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f139f8b91ab8a607dcf31cea357d42d15d7b9ca3c49704f7db3930340ea9121b
PRJ-AIR,PRJ-AIR-CLM-05,2,CLAIM_SUBMITTED,246,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,424b7b57b6c78658b85f53d58695736a66ed717e0db52afe3adc7afbac0c5e7b
PRJ-AIR,PRJ-AIR-CLM-05,3,NEGOTIATION,264,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d0a701fbc5045c4bcb59d78a1e9df1777adff084b9ab6d5fe01c41205611c367
PRJ-AIR,PRJ-AIR-CLM-05,4,MEDIATION,282,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e14045f9d3126dbd27660659c21614bfb3500b59d1f58513950b8c38a5c5f373
PRJ-AIR,PRJ-AIR-CLM-05,5,ADJUDICATION,300,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,19da64528f878b91037aba6008a339b2fb02170a627a7b18178174ad6abe55af
PRJ-AIR,PRJ-AIR-CLM-06,1,NOTICE,263,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9fecbcec1c3c13d138b02cbabb8ca46d0b48567086079b89c786a0ab2eafff8c
PRJ-AIR,PRJ-AIR-CLM-06,2,CLAIM_SUBMITTED,281,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7a53a39e5cdf0c790673d54370073f4b9c1849e93ec571a38ef7ee82e269c424
