project_id,parameter_name,parameter_value,unit,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,error_rate,0.041,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e2c55be3a4e295ac18dd88d17d9c55c8a708894e4efc77063d8a8db7083d8a8b
PRJ-AIR,base_productivity,21.34,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c66ed4c20547e3d06dcfcc57868d42293b5ebd52f9f6c11a8e735a4cb2fcb53e
PRJ-AIR,feedback_gain,0.019,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7266a8d47898118a0774eb574f6910d5b33f0381124f9ecdbdb359de3f49c75e
PRJ-HWY,error_rate,0.0374,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0605b4e93553e65a2f78a3cc420e21fd7f69996283598dddcb82cbddcf1d58f3
PRJ-HWY,base_productivity,21.736,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d145079e06e019c7e6a07fd9b7034864414388eea7f79f53611e83d07f5e48df
PRJ-HWY,feedback_gain,0.0166,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,64c7e58f6062fa9b29e42742eb340a4e0e3d8054a3eeb9480019415ce16776a4
PRJ-HSP,error_rate,0.0428,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,474fe4ef68013e70aa4b486259664ed7a696cb4fe9b9b081f4d73db04ed4943b
PRJ-HSP,base_productivity,21.142,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2523222452e7cd434520a2187aa192b9d865cdd261b0bd123a8b3a7ecdaf1d97
PRJ-HSP,feedback_gain,0.0202,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,26f89d461c58dedcd3be2e07468683ab79d40e06b8e6879316d31db8cc1eb502
PRJ-WTR,error_rate,0.035,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,07eac6c10b5dc11e940195cb9bf056df8dcdf3ddc5e7f2009cabd3a865875e2c
PRJ-WTR,base_productivity,22.0,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5665de697c212043767ab2332ebe093ae3682bd09a0ac689de310a9dc5201361
PRJ-WTR,feedback_gain,0.015,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6cf79be3c9db7244228f48b2b0cfd26c4c59f4cef90e4984309ee3a6aeb2f772
PRJ-RAL,error_rate,0.0398,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,decebc958039af86b10a6e5da884dd698360c1c890d6739ec7ca97235e080910
PRJ-RAL,base_productivity,21.472,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b8626c78ffeb58712da96d2ed53228652726192e8c11036cffaa199651bea280
PRJ-RAL,feedback_gain,0.0182,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ef69021e02176c377c8e97f0571e65071a240ef10b7ecee3d99819918b96b2d5
PRJ-DCT,error_rate,0.0356,fraction,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0198d506a9f5a73da5e9885f130ae77fa1e5b0eb745639dc18e4e38545e85251
PRJ-DCT,base_productivity,21.934,work_units_per_step,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,23edddb537f69013d94e4e5cf6e1a5c9ed6bcf9b7e241d51b8e60fcb99c49b3f
PRJ-DCT,feedback_gain,0.0153999999999999,fraction_per_backlog_unit,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5065b503da1a05acfd1ccccefbc6a6a5bdc70e28a48e3678a6f2b0fdef00eb65
