project_id,period_id,seed_node_id,propagation_steps,total_propagated_rework,impacted_node_count,cumulative_impact_vector,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-DSM-01,3,0.749272,5,"{""PRJ-AIR-DSM-01"": 1.15, ""PRJ-AIR-DSM-02"": 0.28703, ""PRJ-AIR-DSM-03"": 0.259147, ""PRJ-AIR-DSM-04"": 0.069892, ""PRJ-AIR-DSM-05"": 0.10161, ""PRJ-AIR-DSM-06"": 0.031593, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,df363f10e629bafea8eb1fd61a28e573c52a9ee74c4d40ccbcb8aa56363ae2bf
PRJ-AIR,P02,PRJ-AIR-DSM-02,3,0.614585,4,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 1.3, ""PRJ-AIR-DSM-03"": 0.025642, ""PRJ-AIR-DSM-04"": 0.00707, ""PRJ-AIR-DSM-05"": 0.385369, ""PRJ-AIR-DSM-06"": 0.143089, ""PRJ-AIR-DSM-07"": 0.053414, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0ff62f07808a4e427a8ccf66182ae39be171af8048395e02165a2fe827e84178
PRJ-AIR,P03,PRJ-AIR-DSM-03,3,0.535701,3,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 1.456289, ""PRJ-AIR-DSM-04"": 0.399797, ""PRJ-AIR-DSM-05"": 0.094519, ""PRJ-AIR-DSM-06"": 0.035095, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,83bcf877d7bffade4fda828aad91059e2d76cbcb0bead058db0b26855c032041
PRJ-AIR,P04,PRJ-AIR-DSM-04,3,0.603262,4,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 0.0, ""PRJ-AIR-DSM-03"": 0.02517, ""PRJ-AIR-DSM-04"": 1.60694, ""PRJ-AIR-DSM-05"": 0.378269, ""PRJ-AIR-DSM-06"": 0.140453, ""PRJ-AIR-DSM-07"": 0.05243, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,13ed1216efa2d50324ef60ae5ebb61080b8c5ad301b6b4450121e1741eaee982
PRJ-AIR,P05,PRJ-AIR-DSM-01,3,1.140196,5,"{""PRJ-AIR-DSM-01"": 1.75, ""PRJ-AIR-DSM-02"": 0.436784, ""PRJ-AIR-DSM-03"": 0.394354, ""PRJ-AIR-DSM-04"": 0.106357, ""PRJ-AIR-DSM-05"": 0.154624, ""PRJ-AIR-DSM-06"": 0.048076, ""PRJ-AIR-DSM-07"": 0.0, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4ebec8948a56548b900bd7dee66371b76621a9ea4edfc6cf884b925e489ebb99
PRJ-AIR,P06,PRJ-AIR-DSM-02,3,0.89824,4,"{""PRJ-AIR-DSM-01"": 0.0, ""PRJ-AIR-DSM-02"": 1.9, ""PRJ-AIR-DSM-03"": 0.037477, ""PRJ-AIR-DSM-04"": 0.010333, ""PRJ-AIR-DSM-05"": 0.563232, ""PRJ-AIR-DSM-06"": 0.20913, ""PRJ-AIR-DSM-07"": 0.078067, ""PRJ-AIR-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4c79385a459bd70c1319299d11032d4fc7bf65708bd09b0a3e2e6c02ca726952
PRJ-HWY,P01,PRJ-HWY-DSM-01,3,0.759357,5,"{""PRJ-HWY-DSM-01"": 1.15, ""PRJ-HWY-DSM-02"": 0.331832, ""PRJ-HWY-DSM-03"": 0.228331, ""PRJ-HWY-DSM-04"": 0.055825, ""PRJ-HWY-DSM-05"": 0.108208, ""PRJ-HWY-DSM-06"": 0.035161, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b98d07b1f769a5784f506a9cebbea9c1d4f55ad027f4f48421e8428f6ac917a5
PRJ-HWY,P02,PRJ-HWY-DSM-02,3,0.61327,4,"{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 1.3, ""PRJ-HWY-DSM-03"": 0.041145, ""PRJ-HWY-DSM-04"": 0.010545, ""PRJ-HWY-DSM-05"": 0.366775, ""PRJ-HWY-DSM-06"": 0.13775, ""PRJ-HWY-DSM-07"": 0.057055, ""PRJ-HWY-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,dcf161184480bb78858f9ca8cfeb687e315da341f341ffd7097bce677dc49e45
PRJ-HWY,P03,PRJ-HWY-DSM-03,3,0.516063,3,"{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 1.460892, ""PRJ-HWY-DSM-04"": 0.371607, ""PRJ-HWY-DSM-05"": 0.097097, ""PRJ-HWY-DSM-06"": 0.036467, ""PRJ-HWY-DSM-07"": 0.0, ""PRJ-HWY-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,10ab017a70f444cc4efd9f6ee923c7a2b0abe6663ed7e1f53fb9813b02b9a97c
PRJ-HWY,P04,PRJ-HWY-DSM-04,3,0.699024,4,"{""PRJ-HWY-DSM-01"": 0.0, ""PRJ-HWY-DSM-02"": 0.0, ""PRJ-HWY-DSM-03"": 0.046899, ""PRJ-HWY-DSM-04"": 1.612019, ""PRJ-HWY-DSM-05"": 0.418061, ""PRJ-HWY-DSM-06"": 0.157012, ""PRJ-HWY-DSM-07"": 0.065033, ""PRJ-HWY-DSM-08"": 0.0}",SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0121a749af27aa1e7ba608374bdb00f150a6f08574817a02d4c00181c4f3ddae
