project_id,agent_id,agent_type,base_capacity_units,base_lead_time_steps,reliability,decision_rule_id,network_group,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-SUP-01,SUPPLIER,8,2,0.805,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6b194f20d08b4394bbcb4fb15eaf52e6d5a7db7567ce06a04f87c5322d38b234
PRJ-AIR,PRJ-AIR-SUP-02,SUPPLIER,10,3,0.825,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9002ac72f03a8a2a9ea607fb158161590d654d8105dd6ce558eb9d5361bf727b
PRJ-AIR,PRJ-AIR-SUP-03,SUPPLIER,12,4,0.845,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7da33dbe94bd8637cfd53ba27e73e71844e90c4ff6f7c854d3cce782d45a2ee5
PRJ-AIR,PRJ-AIR-SUP-04,SUPPLIER,8,5,0.865,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9285e8ac66fa62d0d5a781517a0f77249d8e430898484eb308a745669a20eb0b
PRJ-AIR,PRJ-AIR-SUP-05,SUPPLIER,10,2,0.805,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0cc2ca26503ee2a0d82ce53e68d30ec46bb3b5449523efc8fed8c142e03b1e98
PRJ-AIR,PRJ-AIR-SUP-06,SUPPLIER,12,3,0.825,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ebde718c91bcca6e88edc59b553192d3910d479397a92c526cd5ccbf5226c333
PRJ-AIR,PRJ-AIR-SUP-07,SUPPLIER,8,4,0.845,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b1908d9ec6ba87cd18b8cfb44cc93ced17909b39ff246fc44c471256ca024ed1
PRJ-AIR,PRJ-AIR-SUP-08,SUPPLIER,10,5,0.865,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6fff610624f85dc2dbbe9c10839dd424933b426119c715766149b33f08099d9f
PRJ-HWY,PRJ-HWY-SUP-01,SUPPLIER,8,2,0.814,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1bf1b517026702ec7d790ed4d467df258a7fe909c87194d2fc19dc7c476ed59a
PRJ-HWY,PRJ-HWY-SUP-02,SUPPLIER,10,3,0.834,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,50cf59a97a4e200979b65d6abd9bb9077f3a86019a882220a9882de5755d7a61
PRJ-HWY,PRJ-HWY-SUP-03,SUPPLIER,12,4,0.854,RESTOCK_AND_PRIORITIZE_CRITICAL,G3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ceeaddf6170b522b192965d96bb51cca7efac4158ac1f478620399e35f4054f3
PRJ-HWY,PRJ-HWY-SUP-04,SUPPLIER,8,5,0.874,RESTOCK_AND_PRIORITIZE_CRITICAL,G1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2ec58508c8686699502898e57fe484aa1d1f1f097226ffe6eab566be6fcdf31b
PRJ-HWY,PRJ-HWY-SUP-05,SUPPLIER,10,2,0.814,RESTOCK_AND_PRIORITIZE_CRITICAL,G2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7001fe6828d6f14f1a5d771a0da2c2bc137c75b3e578b242a7d07cbabfe40f28
