project_id,activity_id,activity_name,wbs_id,activity_type,baseline_duration_days,optimistic_duration_days,most_likely_duration_days,pessimistic_duration_days,calendar_id,resource_group,location_id,critical_chain_flag,ccpm_chain_id,ccpm_chain_type,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-A01,Notice to Proceed,PRJ-AIR-WBS-01,MILESTONE,5.4,4.324,5.4,6.996,CAL-5D,DESIGN,LOC-01,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e74c1500bf21ec2c3a60360cdf9ffe2cde62198cddeabdb1c924edfbdb0c40a1
PRJ-AIR,PRJ-AIR-A02,Design Release,PRJ-AIR-WBS-02,TASK,22.5,18.999,22.5,30.68,CAL-5D,DESIGN,LOC-02,False,PRJ-AIR-FC1,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a87e48885db6807a78f4fce25873d9baf72e87c7d1d9a6c8c3f893c2e0e773bf
PRJ-AIR,PRJ-AIR-A03,Long-Lead Procurement,PRJ-AIR-WBS-03,TASK,37.8,29.22,37.8,48.696,CAL-5D,PROCUREMENT,LOC-03,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,68c461b33f5d356e37a28cb99f33f9ece0ae8cc10a40b34044657885c93c5af6
PRJ-AIR,PRJ-AIR-A04,Enabling Works,PRJ-AIR-WBS-04,TASK,21.3,16.166,21.3,26.601,CAL-5D,PROCUREMENT,LOC-04,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,88f80cb587c432ab789546e83f02701b4e06ee88d88333399f5340bb71e01f32
PRJ-AIR,PRJ-AIR-A05,Foundations,PRJ-AIR-WBS-05,TASK,33.5,25.938,33.5,43.157,CAL-5D,CIVIL,LOC-05,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3d7e9fcef3ab54a275081c2fec07d89a95e8a2f3e285eaa01a90a09111ef38df
PRJ-AIR,PRJ-AIR-A06,Structural Frame,PRJ-AIR-WBS-06,TASK,48.3,38.473,48.3,62.086,CAL-5D,CIVIL,LOC-06,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4407d144015d94e37f2b0055546c4f6d26efda54aa130f8b40ebe7a555654eed
PRJ-AIR,PRJ-AIR-A07,Building Envelope,PRJ-AIR-WBS-07,TASK,36.0,28.096,36.0,48.325,CAL-5D,STRUCTURAL,LOC-01,False,PRJ-AIR-FC2,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d1f8ad69ef9b93bb147e1cf28d1e54fbfec077aec82bacd1fe2818998dd1fe55
PRJ-AIR,PRJ-AIR-A08,MEP Rough-In,PRJ-AIR-WBS-08,TASK,47.9,36.703,47.9,58.076,CAL-5D,STRUCTURAL,LOC-02,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5929f8ba1d933fc0605ec2bfad0becdba69034a07e3cfc259251334e3b87d63b
PRJ-AIR,PRJ-AIR-A09,Baggage Systems,PRJ-AIR-WBS-09,TASK,35.4,27.447,35.4,45.642,CAL-5D,MEP,LOC-03,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,69d04fb0c06cc45a701c09bcee75e97954010b71a0aadc98aa606d2c85133ec0
PRJ-AIR,PRJ-AIR-A10,Interior Fit-Out,PRJ-AIR-WBS-10,TASK,44.3,34.128,44.3,57.153,CAL-5D,MEP,LOC-04,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,d9d40f6d1df3c7607e9a3baf62d968caf8fe0be020284322fca77686d963a87f
PRJ-AIR,PRJ-AIR-A11,Integrated Testing,PRJ-AIR-WBS-11,TASK,30.3,22.278,30.3,38.001,CAL-5D,COMMISSIONING,LOC-05,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5a25cc63972e6d510e34ea73b18cdda034149c011ea519c64aa13c40fc95f4a5
PRJ-AIR,PRJ-AIR-A12,Operational Readiness,PRJ-AIR-WBS-12,MILESTONE,13.8,10.543,13.8,18.751,CAL-5D,COMMISSIONING,LOC-06,True,PRJ-AIR-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c76d6722931cf8ae9e23c53a6c195f8f46f2476f48c542fe86e83a7d8b96ce35
PRJ-HWY,PRJ-HWY-A01,Notice to Proceed,PRJ-HWY-WBS-01,MILESTONE,6.2,4.877,6.2,8.044,CAL-5D,DESIGN,LOC-01,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,423811a2813370f96242a70a07809b56ecc6bf02463d9ac2be32cf981ccf1d34
PRJ-HWY,PRJ-HWY-A02,Traffic Control Design,PRJ-HWY-WBS-02,TASK,21.8,17.207,21.8,27.591,CAL-5D,DESIGN,LOC-02,False,PRJ-HWY-FC1,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,88421841ac5350e91eab43a57ee5303576e4644c4262bef1931dc91982043391
PRJ-HWY,PRJ-HWY-A03,Utility Relocation,PRJ-HWY-WBS-03,TASK,31.2,23.967,31.2,39.636,CAL-5D,PROCUREMENT,LOC-03,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,653ce18717993e69b3c71e47817800f742767f6c1f4a28b6042bf94a119b3930
PRJ-HWY,PRJ-HWY-A04,Clearing and Earthwork,PRJ-HWY-WBS-04,TASK,21.5,17.11,21.5,26.802,CAL-5D,PROCUREMENT,LOC-04,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9060cd08994e4084bc89168a06cea0535b5a2cecb7dc00286ef561b1a0554bfb
PRJ-HWY,PRJ-HWY-A05,Drainage,PRJ-HWY-WBS-05,TASK,27.4,21.335,27.4,35.088,CAL-5D,CIVIL,LOC-05,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,371f4ef35a297a7b95e952822309516000e9b08822890fc427be3a83f14bd572
PRJ-HWY,PRJ-HWY-A06,Subgrade,PRJ-HWY-WBS-06,TASK,44.2,36.641,44.2,55.202,CAL-5D,CIVIL,LOC-06,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9f0dd7ef86132ec28e6bc1591633f426f624a24ea62dda068076162d1898896a
PRJ-HWY,PRJ-HWY-A07,Structures,PRJ-HWY-WBS-07,TASK,32.7,25.19,32.7,41.311,CAL-5D,STRUCTURAL,LOC-01,False,PRJ-HWY-FC2,FEEDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,354fe448a49de9cf804dc2f14c34ea6af802b3f6420160f8482436b5cb9627bc
PRJ-HWY,PRJ-HWY-A08,Base Course,PRJ-HWY-WBS-08,TASK,42.9,35.174,42.9,54.323,CAL-5D,STRUCTURAL,LOC-02,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f14cc857fd793693a8d809a8d74a5430a49b9530057823f8976f28b933f65cc5
PRJ-HWY,PRJ-HWY-A09,Paving,PRJ-HWY-WBS-09,TASK,34.4,26.078,34.4,43.75,CAL-5D,MEP,LOC-03,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ecf37cdaba8862f8471573e91a5e1e0ab1c842aa470a0c538eac159ac5fdd8eb
PRJ-HWY,PRJ-HWY-A10,ITS and Lighting,PRJ-HWY-WBS-10,TASK,35.7,28.337,35.7,44.886,CAL-5D,MEP,LOC-04,True,PRJ-HWY-CC,PROJECT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,77d28b5efc288fe125a2da7172456c9e895e220b5ef15002e42e99fe6f9beea6
