project_id,time_step,agent_id,state,demand_units,delivered_units,inventory_end_units,effective_capacity_units,lead_time_steps,decision_rule_id,rule_branch,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,1,PRJ-AIR-SUP-01,DISRUPTED,5.092113,3.6,14.4,3.6,4,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,36e24433f4340125f052d727337badd3f41904f261687ee552a5b68d67bf05cc
PRJ-AIR,1,PRJ-AIR-SUP-02,NORMAL,4.740548,4.740548,15.759452,10.0,3,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,165ee8fa8bebceb6d9df4d4702cefa82073f6c96195ffab3685eeac157fc6cec
PRJ-AIR,1,PRJ-AIR-SUP-03,NORMAL,4.965073,4.965073,18.034927,12.0,4,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9acde6f327242a3c5458fb4e5884c60c0dc74c6b08c00c57cbbf2123c4422574
PRJ-AIR,1,PRJ-AIR-SUP-04,NORMAL,5.727494,5.727494,15.272506,8.0,5,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c79743d73d812c76835bd909470ed35cbd11e82b03ea4de5f457165ac387ed94
PRJ-AIR,1,PRJ-AIR-SUP-05,NORMAL,4.448989,4.448989,19.051011,10.0,2,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a9d5ca01f318500890e5a2248e6d7a199e85ec9876d06a1a518943d7e8d54de4
PRJ-AIR,1,PRJ-AIR-SUP-06,NORMAL,4.683533,4.683533,21.316467,12.0,3,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,dbfb205a03738c2d8ab99988caac858aeb77ae3b1d97ee990c05ed98c8b50278
PRJ-AIR,1,PRJ-AIR-SUP-07,NORMAL,4.176314,4.176314,19.823686,8.0,4,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f16274636c722483ade7bf2fc5c56db1795ce62befa1e4fc6eee753b28dfabe7
PRJ-AIR,1,PRJ-AIR-SUP-08,NORMAL,5.415484,5.415484,21.084516,10.0,5,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,007d49ac865248454631aa4f5c90bd98fc7ba47dedd1268e0ce8e0f1375e8cf9
PRJ-AIR,2,PRJ-AIR-SUP-01,DISRUPTED,4.890168,3.6,16.8,3.6,4,RESTOCK_AND_PRIORITIZE_CRITICAL,DISRUPTION_CAPACITY_REDUCTION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4f448249859bf7a68c63068ab9814f7469314bb294e807cafc9fa0e2df13b569
PRJ-AIR,2,PRJ-AIR-SUP-02,NORMAL,6.39226,6.39226,16.867192,10.0,3,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2dff605a442d85d6d641031d138cedabe84f43755ddacec87b744eee46f0467e
PRJ-AIR,2,PRJ-AIR-SUP-03,NORMAL,4.225977,4.225977,22.80895,12.0,4,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,57d79b64d5ba641428896ec4e2366fdaeec956574d96c24c3a31311e6ca5e83b
PRJ-AIR,2,PRJ-AIR-SUP-04,NORMAL,6.995191,6.995191,14.277315,8.0,5,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fbc994a83c6df63957221e968e681f50edc251235dfc0509d0896e65e195c267
PRJ-AIR,2,PRJ-AIR-SUP-05,NORMAL,5.437893,5.437893,21.113118,10.0,2,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,daadfdf328ad3e090f091bf1493ee9874d98a729a5de0b96bbf3f4b07afb89a9
PRJ-AIR,2,PRJ-AIR-SUP-06,NORMAL,4.665909,4.665909,25.650558,12.0,3,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ea59e7c5404072bf3f6cdc0d37fdf9accb761d6cc74376ab982edfac66353f08
PRJ-AIR,2,PRJ-AIR-SUP-07,NORMAL,4.389064,4.389064,21.434622,8.0,4,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b7e8250f97e8a1a5fbc6f77aea9b18e08ceaff5cee432c4e0acf08dae04eb4ec
PRJ-AIR,2,PRJ-AIR-SUP-08,NORMAL,6.264494,6.264494,22.320022,10.0,5,RESTOCK_AND_PRIORITIZE_CRITICAL,NORMAL_FULFILMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,33f16702709dde10c76e395ed3f9ff410beb483f7fbdd52e16bf42cd3af418b3
