project_id,period_id,violation_id,assessment_id,requirement_id,severity,identified_date,corrective_due_date,corrective_close_date,status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-ENV-08-P01-V,PRJ-AIR-ENV-08-P01,PRJ-AIR-ENV-08,CRITICAL,2026-02-27,2026-03-13,2026-03-06,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a6f255b88273c7efbd13c38066ebb30d4db3414321e3f63556f9367e9c161f8b
PRJ-AIR,P02,PRJ-AIR-ENV-03-P02-V,PRJ-AIR-ENV-03-P02,PRJ-AIR-ENV-03,MEDIUM,2026-04-27,2026-05-27,2026-05-25,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e9825af3c4911a4a6dde4487ccc9578191ba1f0c43cc1843de0e87a0d9090e9a
PRJ-AIR,P04,PRJ-AIR-ENV-01-P04-V,PRJ-AIR-ENV-01-P04,PRJ-AIR-ENV-01,HIGH,2026-08-22,2026-09-21,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0fc224015149e39e3f239c5160e728334c2bba18486695299ac3126ecc5cae61
PRJ-AIR,P04,PRJ-AIR-ENV-02-P04-V,PRJ-AIR-ENV-02-P04,PRJ-AIR-ENV-02,HIGH,2026-08-22,2026-09-21,2026-09-12,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f42de229fed921eb73b7e2d619d96aa2ae803e503f691125448693884188c672
PRJ-AIR,P05,PRJ-AIR-ENV-05-P05-V,PRJ-AIR-ENV-05-P05,PRJ-AIR-ENV-05,LOW,2026-10-19,2026-11-18,2026-11-11,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,38739cbde7f63000a5ff6d9cb4d8ef006c988cfcd57a3dbdf4240bd5fa0782be
PRJ-DCT,P01,PRJ-DCT-ENV-08-P01-V,PRJ-DCT-ENV-08-P01,PRJ-DCT-ENV-08,CRITICAL,2026-05-29,2026-06-12,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8dc428b739d5fbfdfd58c01d9bf3da0ae9cbc18a245c0c422134044dd4940fbe
PRJ-DCT,P02,PRJ-DCT-ENV-01-P02-V,PRJ-DCT-ENV-01-P02,PRJ-DCT-ENV-01,HIGH,2026-07-13,2026-08-12,2026-07-16,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a5fe9efb1d86b89fd87a8f66f9c65ef54d8040a7542a10c97fbf6fe10e0ceb8c
PRJ-DCT,P02,PRJ-DCT-ENV-06-P02-V,PRJ-DCT-ENV-06-P02,PRJ-DCT-ENV-06,CRITICAL,2026-07-13,2026-07-27,2026-08-05,CLOSED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2bb3a51df7f48e7fb0f216d2e2b3a1c27e0c5df591440c14a148e17c4c32979c
PRJ-DCT,P04,PRJ-DCT-ENV-02-P04-V,PRJ-DCT-ENV-02-P04,PRJ-DCT-ENV-02,HIGH,2026-10-10,2026-11-09,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,78c748f858011ff93242e88e9bdb6ff1bd67b9c0bdd11202943f6d632ad0963b
PRJ-DCT,P04,PRJ-DCT-ENV-04-P04-V,PRJ-DCT-ENV-04-P04,PRJ-DCT-ENV-04,MEDIUM,2026-10-10,2026-11-09,,OPEN,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f2fdfe6fa5a69a45b6f39a5860560535c332e9033b6e4cce6d10b5a0fa68958b
