project_id,time_step,backlog_start,new_work,work_completed,rework_generated,backlog_end,cumulative_rework,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,1,55.0,19.448484,21.304433,1.801411,54.945462,1.801411,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8e052914c10290f500e4bf65969628bbf0bb1a8b67dd916c02f36974fcfa5c38
PRJ-AIR,2,54.945462,16.503431,21.268867,1.221399,51.401426,3.02281,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9f5263c8d1054097047708648ea5456ee7abf58da72ae0458949f06a57351f42
PRJ-AIR,3,51.401426,15.663086,21.2333,2.033469,47.864681,5.056279,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a7dfd55a462b4f77b87d728a972f71c8a7053fdb670760750f40d0e0cfaa0a0b
PRJ-AIR,4,47.864681,13.449987,21.197733,1.449275,41.566209,6.505554,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9679d6c53cc1522edb1cb3995d374ecd1e30b6398dee06a24dee11313b2ffe95
PRJ-AIR,5,41.566209,13.230416,21.162167,2.143051,35.777509,8.648605,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e293693ee95e89a4e51f7ad0c8ccc8c8d5a8b048a9130b6a81225a47112d8c41
PRJ-AIR,6,35.777509,15.361948,21.1266,0.796606,30.809463,9.445211,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5f89d093b8f55217cfb2ce8727fda8998ec887e5626f4e78271ce9fa3848bfe1
PRJ-AIR,7,30.809463,8.721385,21.091033,1.153834,19.59365,10.599046,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8ec80d0eb7fc18e162001f13b1849693df8e2bead9e582946f0ace87bc39bd61
PRJ-AIR,8,19.59365,11.222402,21.055467,1.036632,10.797217,11.635677,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e4c22faa1f0d539d510374ccbea927c8dfb41a5f6502528c267d9797c6235edd
PRJ-AIR,9,10.797217,11.943675,21.0199,0.44047,2.161463,12.076148,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7a523a5353694357bcc47615d12077a996275441d3e0f51e67e882c67fc90156
PRJ-AIR,10,2.161463,9.800194,11.961657,1.301354,1.301354,13.377502,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,76fa84fd38ccab1c5b2a746603a3275b5def641629fdec77c5ee507807dd9702
PRJ-AIR,11,1.301354,10.700597,12.001951,1.085293,1.085293,14.462794,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6081f8984a701ce1c6d109d237e9d2ea7bebdc5f315f27ff6382b68f8af41211
PRJ-AIR,12,1.085293,7.530861,8.616153,0.503577,0.503577,14.966371,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ac8922fbc906cdc66141d7dc704b0c8acbf8e2f43314ebc234262ca561bd70be
PRJ-HWY,1,59.0,17.555392,21.699773,2.542541,57.398159,2.542541,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,108fdf5e03c0bac9c338b584a18cfce50690b37c859b580c2b60d4fcecc750d8
PRJ-HWY,2,57.398159,15.978779,21.663547,2.096445,53.809836,4.638986,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,937c8d2a41cf357a5bd68dc12cd54d533b8bb4df4f0b89f1664440de69d48c79
PRJ-HWY,3,53.809836,13.854127,21.62732,2.421029,48.457672,7.060015,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0a3a5a0e170514065017803a998b4f44b3682733f36038d2d2135e934c302593
PRJ-HWY,4,48.457672,14.947637,21.591093,0.962218,42.776433,8.022232,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f025bddc806c2e0d436b5233cdff91712473db885f17180a4f598dbfbda103ec
PRJ-HWY,5,42.776433,14.28524,21.554867,1.674784,37.181591,9.697016,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7e6aa78051e9736eb90255bef09627889fbe31d7085e4bca1cc14f947d8e93f4
PRJ-HWY,6,37.181591,13.709391,21.51864,1.87498,31.247322,11.571996,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,69d3ce2e149a06f582ff6cf519efecac87ad655b847f9bba1d5480984c1d5eb7
PRJ-HWY,7,31.247322,10.776128,21.482413,1.710599,22.251636,13.282596,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,87223d202bfac1572d084f7171509d838ef4f890f77633ab918623dfba7c8dda
PRJ-HWY,8,22.251636,9.264473,21.446187,0.958936,11.028858,14.241531,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e8e4258e1e4c9495bc12f545e94f68dd779bd60961e00696aa3c11bfca7e63c8
PRJ-HWY,9,11.028858,10.096585,21.125443,0.446291,0.446291,14.687822,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,68d2e1d8bf0a813fbfa6269e3ec64c601eabf7b6f68828b49e6a9d0bd6eda92c
PRJ-HWY,10,0.446291,10.199226,10.645517,0.98318,0.98318,15.671002,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0a6c7cd3edad190e49c465393d7c670b223147b8d65def83362390541422b93a
PRJ-HWY,11,0.98318,9.463684,10.446864,0.411847,0.411847,16.082848,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ef2383b886133e0e727d77966d88b6af126e213c92d44966f7a8552f354d6f06
PRJ-HWY,12,0.411847,10.379964,10.791811,0.0,0.0,16.082848,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ceac227eabd07d99040d6668204d1e29d516e6e9db7ebb113d1b32c740b1f259
PRJ-HSP,1,63.0,19.147131,21.106763,1.477308,62.517676,1.477308,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9edd9fb12acbd89afe1d43fcc612701730cec80e323f8807d9224cc9c7c06659
