project_id,ncr_id,source_audit_id,issue_period_id,issue_date,due_date,close_date,severity,description_code,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-NCR-001,PRJ-AIR-P02-QA,P02,2026-04-21,2026-05-12,2026-04-27,MINOR,TEST_FAILURE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c736fd20f7e08f3a6293f42a0e20b1098e3768e0e176a155922c3d68e18ec1df
PRJ-AIR,PRJ-AIR-NCR-002,PRJ-AIR-P03-QA,P03,2026-06-22,2026-07-13,2026-06-24,MINOR,TEST_FAILURE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3e0f93ad37daf2cdc13053fab0e80bd994eb7fb9f9a704c23cf15f0655a70cc7
PRJ-AIR,PRJ-AIR-NCR-003,PRJ-AIR-P05-QA,P05,2026-10-05,2026-10-26,,MINOR,MATERIAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,437120ea31d641aa644e4a858e063c2cda740fe16f5beafcf581785469bfe606
PRJ-AIR,PRJ-AIR-NCR-004,PRJ-AIR-P06-QA,P06,2026-12-08,2026-12-29,2026-12-17,MINOR,DOCUMENTATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,806e7cf0f5d393baf5cb504f30febcbe87cf014f8dfe5bc32ddbdb38f7ba79e4
PRJ-AIR,PRJ-AIR-NCR-005,PRJ-AIR-P06-QA,P06,2026-12-02,2026-12-23,,MINOR,DOCUMENTATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f5e5f1ed0723ac07fb19d55d75ba2e94358f213aa3b44a85da78bc3314031e73
PRJ-AIR,PRJ-AIR-NCR-006,PRJ-AIR-P06-QA,P06,2026-12-15,2027-01-05,2026-12-17,MINOR,TEST_FAILURE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,75d0643340df6937584b6d9e46d61b742c83533ffd5665a332b8acfefefcd04b
PRJ-DCT,PRJ-DCT-NCR-001,PRJ-DCT-P01-QA,P01,2026-05-16,2026-06-06,2026-06-03,MINOR,DOCUMENTATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,42c597df784c18b0b585cb070cdff26678e6574e7d24e0468257a817e0082dc8
PRJ-DCT,PRJ-DCT-NCR-002,PRJ-DCT-P03-QA,P03,2026-08-10,2026-08-31,2026-08-20,MINOR,WORKMANSHIP,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,86d1a837bda41e5508bb9e28713daecae3c0e1a38aa6120210f0a6d407a691e3
PRJ-DCT,PRJ-DCT-NCR-003,PRJ-DCT-P03-QA,P03,2026-08-20,2026-09-10,2026-08-26,MINOR,DOCUMENTATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7fd79a3076c4df48d0db965999a2f8c30dc3cb63a6b1dc67dd4d0dd43fadd1d7
PRJ-DCT,PRJ-DCT-NCR-004,PRJ-DCT-P04-QA,P04,2026-09-27,2026-10-18,2026-10-23,MINOR,TEST_FAILURE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fea1f0c6dc990cffc6b9c63e86f5dd3836386b68f7462045494a66344d308b88
PRJ-DCT,PRJ-DCT-NCR-005,PRJ-DCT-P04-QA,P04,2026-10-06,2026-10-27,2026-10-24,MINOR,MATERIAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a2418fd9eecef913ac540dbb16af7cf963714f19ef93d104885446eb0381374b
PRJ-DCT,PRJ-DCT-NCR-006,PRJ-DCT-P04-QA,P04,2026-10-07,2026-10-28,2026-10-10,MINOR,MATERIAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7dd21c71af43150f7cbe93cb317fa6708d2631f344ab6b5e2a519d92c9f229e8
PRJ-DCT,PRJ-DCT-NCR-007,PRJ-DCT-P04-QA,P04,2026-10-01,2026-10-22,,MINOR,INSTALLATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f812677110dfbca63e6f8c7bac986ce549a4b8d08670a9bc0248437feff25c4e
PRJ-DCT,PRJ-DCT-NCR-008,PRJ-DCT-P04-QA,P04,2026-10-05,2026-10-26,2026-10-31,MINOR,TEST_FAILURE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,66e737a8452007b449e60ffd9fbf7f72538a2a73a00ea24ec7533b422da2029b
