project_id,chain_id,chain_type,activity_id,chain_sequence,feeds_into_activity_id,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A01,1,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b6e0a6000bee5ae9ec33ec51aecee4226128618495a1bb1ce2a55ac85de82592
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A03,2,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,51fbcd7510068bfc84f636e9e95307b0177b3aefa6f784dcfedf71a4b71044f5
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A04,3,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e147b762358079c4f9edd7afe64b648d4ced014e2de07d6456eceefa429f4cef
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A05,4,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,46353c0813a94477e0cabb9f4e46daec6b274502bc40595c3138892a4ebf182d
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A06,5,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,66c1463f70e6b68a99f79e1fc4f385dac3c796c1d064f9767a42663be876d5b8
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A08,6,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,668a3ba4b6a8dcdc532e6ade94c9d8f9063e7748cf5d8cd6c6ccc50d36b4ad46
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A09,7,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5513c34ee07770550060dfd099bdb4a6fd69a2d557622d1288847145a9babccb
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A10,8,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cc72c37d82e9a8f6ac2ab710085bd7d7b52c3f5a09160420547f131aead33789
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A11,9,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,191a3a9099f6999e7981029751a7ee94cd0fb035a36d479dd69674a255e8e21c
PRJ-AIR,PRJ-AIR-CC,PROJECT,PRJ-AIR-A12,10,,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3976a74f8e250a733b1f45c1ef66bcb70c7e962b4de863316db5baa74bf2d2cf
