project_id,claim_id,ground_truth_stage_index,ground_truth_escalation_severity,direct_dispute_evidence_present,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CLM-01,0,0.0231,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,877460a0a4fe9da074dd0b9fb5dd36d4e139f55fb9f6b3643ffdd433b5b447bc
PRJ-AIR,PRJ-AIR-CLM-02,1,0.208,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,85fd91d91aaa56963c8d82a7a0a1736d44c85b8c5c2042fe5e1d88810901ed4e
PRJ-AIR,PRJ-AIR-CLM-03,2,0.3929,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2a7b6a1d041cf7799b9765334a64a973ee682502e345ea65c6e64bdd061ed680
PRJ-AIR,PRJ-AIR-CLM-04,3,0.5778,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,171c69b84cc09ea01dc96a3ffb9d36aa35763c4f61308ee2502bf3073b46923e
PRJ-AIR,PRJ-AIR-CLM-05,4,0.7627,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cb37930b77cbd6ded1bf55ff04d807bdd80f0d25ef9723655ad7c46f9795bb9b
PRJ-AIR,PRJ-AIR-CLM-06,4,0.7726,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b7fdfa6ba69e4f204c0adcc311085132110b8be1e403c43cf1ba4171b032b0de
PRJ-HWY,PRJ-HWY-CLM-01,0,0.02184,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2848a512e3f53cce1de927078498c9f24f6e23b7c0589d6c3783105b66df9d69
PRJ-HWY,PRJ-HWY-CLM-02,0,0.0312,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,859e17c3b76bd7d8dc230c26361f75e3a9b4af7f926abb0e27da283356121249
PRJ-HWY,PRJ-HWY-CLM-03,1,0.21556,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,911a98d5a87254a37013020b79d48f74a84bd9e809dfa2fbddcd482088f4236c
PRJ-HWY,PRJ-HWY-CLM-04,2,0.39992,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,575bff1ba48744fc404545964a9d464b94ce24ba04bc536c30acc61f5b1a69cd
PRJ-HWY,PRJ-HWY-CLM-05,3,0.58428,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,03d01c22dc2148f31e81d5a70e75957cb62a1200140453fa3cddda5204aba151
