project_id,conflict_id,document_a_id,document_b_id,clause_a,clause_b,discipline,conflict_type,review_status,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-SC-01,SPEC-2,DRAW-2,2.1,D-2-001,CIVIL,MATERIAL,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6f8f300f0fdc8d667d1a8e2e337cc47db84ee178001f11015d38dbaffa063544
PRJ-AIR,PRJ-AIR-SC-02,SPEC-3,DRAW-3,3.2,D-3-002,MEP,SEQUENCE,PENDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,17266c83f19ed6cfaf97d015c2a421912c5d556dcfa13278bbed45a3c7bcaa6e
PRJ-AIR,PRJ-AIR-SC-03,SPEC-4,DRAW-4,4.3,D-4-003,STRUCT,RESPONSIBILITY,CONFIRMED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f30a58663882f0224bef4eb81b2f94cff99c2aaaca1369eb41a8b7251690637d
PRJ-AIR,PRJ-AIR-SC-04,SPEC-5,DRAW-5,5.4,D-5-004,ARCH,DIMENSION,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,cba1b65c8dc30c978d78b03e06f8380f756606563ae84c40b9a8ec5e2efee919
PRJ-AIR,PRJ-AIR-SC-05,SPEC-1,DRAW-6,6.5,D-6-005,CIVIL,MATERIAL,PENDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e07d2afb98c30e9d1ed3c509760ad85860423e209f4b48ea509b594cfff1d67e
PRJ-AIR,PRJ-AIR-SC-06,SPEC-2,DRAW-7,7.6,D-1-006,MEP,SEQUENCE,CONFIRMED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,eee22769af9faf1827c393ec36f95645de9616986df81ffcb8a6e65e9f4bb359
PRJ-AIR,PRJ-AIR-SC-07,SPEC-3,DRAW-1,8.7,D-2-007,STRUCT,RESPONSIBILITY,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fffef513566d49c5557fb2ec2c2fce721e5bd903f9a26952508c60f42b8712bb
PRJ-AIR,PRJ-AIR-SC-08,SPEC-4,DRAW-2,1.8,D-3-008,ARCH,DIMENSION,PENDING,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b7862135fd5592aa0d954c15401976c717be07a26ddcc072b6bf296af4222330
PRJ-AIR,PRJ-AIR-SC-09,SPEC-5,DRAW-3,2.9,D-4-009,CIVIL,MATERIAL,CONFIRMED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e5f7d001a6ba03e2cc9e8015fd58e21596b0f77d7a68563d49bd2b746e3636a0
PRJ-AIR,PRJ-AIR-SC-10,SPEC-1,DRAW-4,3.1,D-5-010,MEP,SEQUENCE,REJECTED,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,a943fb97a582d24bf8a9c2b32697e17a057e433b4f383f0db3663bc5df8d5b9e
