project_id,period_id,audit_id,audit_date,inspections_completed,work_packages_audited,total_findings,critical_findings,new_ncr_count,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-P01-QA,2026-02-27,25,8,2,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8baf6b47cf167431a22808334f0e0261e1616e9604a3dc6254f4876deedf04e3
PRJ-AIR,P02,PRJ-AIR-P02-QA,2026-04-27,28,9,2,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,16a415720c31a2d654bddba35568eabf9f92d62e3028aba671e2ad2607745c0f
PRJ-AIR,P03,PRJ-AIR-P03-QA,2026-06-24,27,9,2,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b3f092168141aa2208e97206702abaa1282997d8cbc1293cc361c4577eb1dd0a
PRJ-AIR,P04,PRJ-AIR-P04-QA,2026-08-22,30,10,2,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f9d9aab72ee2f096859b07f6c603cc33ef8350dba926f3e7b93d8f5ccd0500d2
PRJ-AIR,P05,PRJ-AIR-P05-QA,2026-10-19,33,11,2,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,8490f91f285ed1f29701a68660680e9fad465f687a5543fcf90ff78516a50997
PRJ-AIR,P06,PRJ-AIR-P06-QA,2026-12-17,37,12,5,0,3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b2457acdd1668d81d7d08540fec488bd52f756e7245c26cf8f31a86cd31e02c3
PRJ-DCT,P01,PRJ-DCT-P01-QA,2026-05-29,23,7,3,0,1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f32480f2d736bd3922399ee4d951c8b2879d48a3359a07ccd510f64cb1f8adfa
PRJ-DCT,P02,PRJ-DCT-P02-QA,2026-07-13,25,8,2,0,0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,39f8cf19286d79403052ed5fedb6c8666e9fe0a3f1bc96389f365f98e1bb8c46
PRJ-DCT,P03,PRJ-DCT-P03-QA,2026-08-26,28,9,2,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5f1bc6c740b82094decae638b610d587c516ca8b0a958794f3189dd580ad8d03
PRJ-DCT,P04,PRJ-DCT-P04-QA,2026-10-10,31,10,6,0,5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,571be9793103f8fb1a9c541d952f9921eee2c4cb24d693c6bdd87db1ede7c908
PRJ-DCT,P05,PRJ-DCT-P05-QA,2026-11-23,35,11,4,0,2,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,A-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f1477cb9376fb9972fadfbfd49ddb075f164e331580a8fe34db837b00a7a9df1
