literature_module_id,code_module_id,module_name,category_number,category_name,synthetic_package,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
10.1,B4.1,Multi-Objective Optimization,10,Decision Optimization,B3/C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5ed58421a69e20982ea5cc34ce1cc187eeaf7fba1280d2772a0d8c9e494cb85b
10.2,B4.2,Linear Programming,10,Decision Optimization,B3/C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,435275152e4501ed337be6dc7666812c39bd16ae06ed1883fbd12e836ab180d0
10.3,B4.3,Constraint Satisfaction Analysis,10,Decision Optimization,B3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9a475c340f9936ae8cb8602210fa8d30d146947c772318d7b3224d09a2219f57
10.4,B4.4,What-If Scenario Matrix,10,Decision Optimization,B3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,10982ef896ded9161dd49eb44072348f0c3772da44c734b2423e1f2a5037086d
10.5,B4.5,Decision Sensitivity Matrix,10,Decision Optimization,B3/C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6a4045e3af8789c2ad01c82fc4066902480f3997bd32163a3616fd2805fc6af6
10.6,B4.6,Pareto Frontier Analysis,10,Decision Optimization,B3/C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,341e9295be7395b958c5af425c429378a9b8549ae48fb18e60ab4e9a4572832e
10.7,B4.7,Regret Minimization Index,10,Decision Optimization,B3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c7722a4ad271468994ad7147c65d01aea898aba6de1bff6ebf90dcb9cf8b68e0
2.1,A2.1,PERT Network Criticality,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f6f39f67f66423f197b493bcdbe40728610435fcf632936814359d4ffb5d743f
2.10,A2.10,Schedule Risk Analysis P80,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,39f062c08ae0c00a1ce92a33954d76fe11f4f50cb512218aa51c700157c527e8
2.11,A2.11,Critical Path Index,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,619cbc9a135906075d97535e04b4c6fe33f76cf0180150d1d7a4b17c5c3c8d00
2.2,A2.2,Line of Balance,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0cc094f57109d8b4d80d7723889025953ba315e72ea84d7da6774c8ca9249f9a
2.3,A2.3,CCPM Buffer Health,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,66664cb52107d00a12115576bfeeda5f55f85b3d035a58a9c64048ce77750a0a
2.5,A2.5,Float Consumption Rate,2,Schedule Analytics,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,3f46d67a971af41369f1e3fc4e64956d8b53214590c84f75f09d6dc86b9526f5
3.1,A3.1,Reference Class Forecasting,3,Cost Risk,B1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0695157eec9d528c951db4bba2d368e730e105bea44892515508846adc684560
3.6,A3.6,Cost Risk Analysis P80,3,Cost Risk,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bf0fcf78d96d1703ea6c9526dbbe9f10ec1c1a43d5613634b9c76252bd8bf7ed
3.8,A3.8,Parametric Cost Index,3,Cost Risk,B1/C,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,192a0342960e3943ca9334b72a5dcf126c0458065b97f174f9c52933d17859f4
3.9,A3.9,Inflation Adjustment Index,3,Cost Risk,B1,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ee659fd442e3235a043047fd2ecb09795dec639950ad0dac9ba7f278bbbfcc43
4.10,A4.10,Specification Conflict Density,4,Document & Risk Signals,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,33d8f8d250785748e8bfa5f94a9604e48dd96b6a4b1338ef9f65d2707f39cfbd
4.4,A4.4,NCR Rate,4,Document & Risk Signals,A,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,ROOT-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,75dda157cdedc00050fa28f3b0e83ffdd02bb692e602267625e13936cddbed37
