case_id,character,bac,cpi,spi,doc_risk_score,iterations,seed,data_origin,not_for_empirical_validation
MC-01-deterministic-collapse,deterministic collapse,1000000.0,1.0,1.0,0.0,5000,12345,SYNTHETIC_RESEARCH_FIXTURE,true
MC-02-single-sampled-cpi,single sampled cost index,1000000.0,0.9,1.0,0.0,5000,12345,SYNTHETIC_RESEARCH_FIXTURE,true
MC-03-cpi-driven,cost index driven,2400000.0,0.8,1.0,0.0,5000,12345,SYNTHETIC_RESEARCH_FIXTURE,true
MC-04-cpi-and-spi-driven,cost and schedule index driven,2400000.0,0.9,0.9,0.0,5000,12345,SYNTHETIC_RESEARCH_FIXTURE,true
MC-05-stable-performance,"stable performance, document risk only",750000.0,1.0,1.0,0.2,5000,12345,SYNTHETIC_RESEARCH_FIXTURE,true
MC-06-deteriorating,deteriorating performance,5000000.0,0.7,0.75,0.6,5000,12345,SYNTHETIC_RESEARCH_FIXTURE,true
MC-07-strong-performance,"strong performance, spread clamped at zero",1250000.0,1.15,1.1,0.0,5000,12345,SYNTHETIC_RESEARCH_FIXTURE,true
MC-08-spread-upper-region,spread clamped at one,900000.0,0.1,0.1,1.0,5000,12345,SYNTHETIC_RESEARCH_FIXTURE,true
MC-09-small-budget,small budget,12500.0,0.95,0.98,0.05,5000,12345,SYNTHETIC_RESEARCH_FIXTURE,true
MC-10-doc-risk-clamped,document risk at the top of its domain,1000000.0,1.0,1.0,1.0,5000,12345,SYNTHETIC_RESEARCH_FIXTURE,true
