attribute,value_a,value_b,contradiction_degree,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
COST,LOW,LOW,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,05e1a62b74c468092e1401e430354d8cbd2c157ad5ee7f6b52969f81b825cc80
COST,LOW,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,821ac1d5de2081f2817514ef5eda25c7fe2514f8d4fb04d259b41ddcc4ef7caf
COST,LOW,HIGH,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e0ac0c2c9a491dcc9ed4b99ec6de8b95e7b504d905fca55ddfb2a53916fa4b8f
COST,MEDIUM,LOW,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,fee572ac2fb2b05542b0d8ce1dabe68e5eb95f5d3037a44341651220c5ed1d04
COST,MEDIUM,MEDIUM,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,9f4c340e02f61b5ec041c03371d3f5bc128680f5412e91bdacaf34d8cc97d15d
COST,MEDIUM,HIGH,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d00231d857d5544625a672238f2c9e742941a5c60e15187e9d979190fb4e7be7
COST,HIGH,LOW,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,4a7a8b842661552fcd298d60ad430809abbbb5dcd1d973308f8067a9808b778e
COST,HIGH,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f7338a37aae0a82cfe860ddea57a96f53d7fddc60aac81ac3b88d97f7a6151d7
COST,HIGH,HIGH,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f6ac8feda8da0e5dbd5d4317c56241a7de2e6c1a1b823d643c9203028107f82f
SCHEDULE,FAST,FAST,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0221eada7c22cb5a04a99a531b9bfe565c637b4550280d092e8c4bf745b10fdb
SCHEDULE,FAST,NORMAL,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,b3529a7f391f3ce37b20fba864eeec7f3849893ed92d85ef1ec6dd6778cbff78
SCHEDULE,FAST,SLOW,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,3fee375211cc78424f48a0abdc70823a238fe039335930c74334db891188ed2b
SCHEDULE,NORMAL,FAST,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,211277ab5d7d7bf17cd2c41076cb9700173d83673e32bf10113762afc79fa843
SCHEDULE,NORMAL,NORMAL,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,004ac710636997a336aa6122e46d2c4ff3e70b73eeedb69f1b0aa7b3563abc9f
SCHEDULE,NORMAL,SLOW,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1ae3b8550f17f094441e2af2192756877c38817c3b7bd9bb61ca643078959da8
SCHEDULE,SLOW,FAST,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,95d5b60d55b0d514da37aa4786100f1ade3fcc7b8b7f81d389af16560c70c2aa
SCHEDULE,SLOW,NORMAL,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,38bc16c117f4bc70e8d5a94bac69c2b98d82fb3286b898adc201b4905ce699c5
