combination_id,cost_level,delivery_speed,quality_level,carbon_level,alternative_id,membership_degree,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
HSC-001,LOW,FAST,HIGH,LOW,PLAN_A,0.94,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,f1f164590a595bc77e5f574a914e7407d865f184178193b9c66d3610b2211b00
HSC-001,LOW,FAST,HIGH,LOW,PLAN_B,0.97,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8cc97cf8207f8142771f997defbb9219b5d7f05cedc72d3641259e0a79e1a0a3
HSC-001,LOW,FAST,HIGH,LOW,PLAN_C,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8795b1116896bd9633a6f86d1cf055ea6118766674994492083ec47536765bd9
HSC-001,LOW,FAST,HIGH,LOW,PLAN_D,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,1f5a24d054d4658601934306fea70bc38479a309b49b21e8427e377291adb6f6
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_A,0.86,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,718ad9e03b7ad91747e944e1289c1d60f1878be476b1dc16239692e2ad30ddf7
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_B,0.89,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,152abc429c5820262d1490b97574e0867c3dea5a2dd6623b3321e8009a2b150c
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_C,0.92,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,d7e010b35c1e119290c225369ae569d59c714e65af5fba5f0ccd048e4814df78
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_D,0.95,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,e9ee0d2df00de5720f6a227b2cee0591a35c83ab4cd720f913d56ea9a391c743
HSC-003,LOW,FAST,MEDIUM,LOW,PLAN_A,0.82,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,8526c1f0d67a3068a92108206efa36391dc44bc1a87749d47f99ea9d5280c7fc
HSC-003,LOW,FAST,MEDIUM,LOW,PLAN_B,0.85,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,0ee8657e6d03241cbb168b0ff5945e3cb56168a5831d175a2a3394361a52777f
HSC-003,LOW,FAST,MEDIUM,LOW,PLAN_C,0.88,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.1,C-0.1,generate_opus_synthetic_programme.py@0.1,20260811,True,940f9f4de4ed7f7da75d0519fe699f18cc1e7be1d1bad8e957db2dc72b7e078a
