attribute,value_a,value_b,contradiction_degree,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
COST,LOW,LOW,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b240ad4aa86642d5f22ce1e0a7cc674c7c4d410872f0e78736989eafd05d9ed4
COST,LOW,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,415707ebac05c81e39131e533b32d374798e11643ac345ca58953fe149bf2e99
COST,LOW,HIGH,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,7ddc92856ab55bcce593376cb1ef57c5a42bf22e28e61cbb7f73d23ed0cf3b5c
COST,MEDIUM,LOW,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,fd384f8f4880aaa47587e3ff89affcd704004f1b8567520263b72942947005ca
COST,MEDIUM,MEDIUM,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,45dcadfd642ab510f4f0e2784467a131bdca0dc63f3e7c80c5551ffb6c3fcf9c
COST,MEDIUM,HIGH,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4850ccf491fc9efaf818e6d78148ee8ea994a383964f7241de40c2bd2f3263c0
COST,HIGH,LOW,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,07ab906b48488f54515d0625ad19f5994e5b105bfd1d81c63df048eb6aa7dbaa
COST,HIGH,MEDIUM,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,e073d2a42fa2c4b3b9720d8337ba5f0baa102bf260d7023c6ed933a29adb181e
COST,HIGH,HIGH,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,db9a80773353fc35c9db0f7fead9d70b1898d2dab0320621765858348029af1a
SCHEDULE,FAST,FAST,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,41431b9798e95d89679a6eeeb8f14e9d078125d90b6571031af0a6964c763b36
SCHEDULE,FAST,NORMAL,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c1d448bbd21f5d308c30b6195bc8e658df66294854725f1d6f6d6c7259e61777
SCHEDULE,FAST,SLOW,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,f03ec20dc32bb92c16df20210d9844dc9499b93be6b881a56e866e52c90b9207
SCHEDULE,NORMAL,FAST,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,de3e4596f828f07214179e5e0ae93ce65b196f351738feb1d538b9ddc923f515
SCHEDULE,NORMAL,NORMAL,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,bf46d1408c186a8b6c8b63baf29aec2954caf8463bf14b6eefbe74a548a3ebfa
SCHEDULE,NORMAL,SLOW,0.5,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c1934ece8a9c3a4ac9d2d4fc178696bc7550a5abba0ea68827e4a460d16dc8c1
SCHEDULE,SLOW,FAST,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,b46e2175418835fa0b5ac378ec84d99af85a318ce09988cc4045dac46573de52
