combination_id,cost_level,delivery_speed,quality_level,carbon_level,alternative_id,membership_degree,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
HSC-001,LOW,FAST,HIGH,LOW,PLAN_A,0.94,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9cf9b2632493c1eb75bd348e20f07334660a659e64e79a273274f2f5187f1cef
HSC-001,LOW,FAST,HIGH,LOW,PLAN_B,0.97,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,83f9c886203e226abbfadf494c5d41941faa0cfb6419b597a9a2b7e40a3aefd3
HSC-001,LOW,FAST,HIGH,LOW,PLAN_C,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9d1f058fbca7e9f9be6047d48277d316342c2ea724d6e3f5f3396752c1e5027d
HSC-001,LOW,FAST,HIGH,LOW,PLAN_D,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,1273072c8806140854f1fe159209542ebd18f08c37fcfe4a0eed8aa7fbf3b317
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_A,0.86,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c563efb771ae13049af39546d4dd3c98830e412f611581e5c508fb0178f3d6cf
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_B,0.89,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,957d5f42f06737c959d99f7cc5c8aa0176cb472a727ff5f7048575524ea7ea63
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_C,0.92,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4cbdbb2d3e31d4c6e79e319fd0fed29989554dbc7c686d15ada4bab170e9c569
HSC-002,LOW,FAST,HIGH,HIGH,PLAN_D,0.95,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ca8aeae3e0d4cadb5f6f13d05356fb3309a98ebedfd245fe2120d0465a01af36
HSC-003,LOW,FAST,MEDIUM,LOW,PLAN_A,0.82,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,85747e2f20158548c0a9723b6661de5809968d7e7918646a7872d1f3593c0f21
HSC-003,LOW,FAST,MEDIUM,LOW,PLAN_B,0.85,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c4b6723b19f95654fc1c7edc5734e345e77295fa766b3d101679864b8b7e1d10
HSC-003,LOW,FAST,MEDIUM,LOW,PLAN_C,0.88,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0c52016cd4a231c871683973ff17f6a068c699fb3557c49c8cf6b17c100fa8ee
HSC-003,LOW,FAST,MEDIUM,LOW,PLAN_D,0.91,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,269891e480f7cffec09dc4982e5e8303d3ce7e100cd07ce7465cd8fb0e91c81d
HSC-004,LOW,FAST,MEDIUM,HIGH,PLAN_A,0.74,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,15315b158f290a309542cd07881beecbe0a488007d3e64fb6ca8b3148da217b1
HSC-004,LOW,FAST,MEDIUM,HIGH,PLAN_B,0.77,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,02ac78dd27c237599a61b5502569485ce1f60d6ad8a7539ec8062d5ab3284064
HSC-004,LOW,FAST,MEDIUM,HIGH,PLAN_C,0.8,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,42dff9ecfcf4c557c9b6419f8fcec4e1c70025a160e526670d23582fecc56f3c
HSC-004,LOW,FAST,MEDIUM,HIGH,PLAN_D,0.83,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,ef0a35cf3ce17d8a3bd2d30692fe08ebb46bfcc71837f0f569bc6eea069362a8
HSC-005,LOW,NORMAL,HIGH,LOW,PLAN_A,0.84,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,5f59cdaa641d366c096bd1f963e2b6d2ecb2f16cdf5f53f2965f9d2c3258dcbd
HSC-005,LOW,NORMAL,HIGH,LOW,PLAN_B,0.87,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,37c826d48b9b30895cb4e6700013084104f0e8da954cabc9eac22dfbaf7e42e0
