synthetic_respondent_id,question_order,response_a_yes,response_b_yes,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
Q-0001,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,9fcfdf1751c3dc862197dd5f0c68b669cf669bc832fc0d6a7c18e1294ef105e9
Q-0002,B_THEN_A,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,95b184440f9245afcf4a44110a208f06e8d99af45fe885e64b1dc17f4de9e6c5
Q-0003,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,2b7a87a7819d8dfe21ebe6ef508e0412bc1c1584975c2a5bcb4a927a219d2bbb
Q-0004,B_THEN_A,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,0bd5cad76dfc90a280836a54e04481bd39a0aa511c41f1d47ac752a09f961cb9
Q-0005,A_THEN_B,False,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,6a2b9ef8c6178418986738b79576b77fb4c016e2f0fa230eeac4c2d6c5d91c37
Q-0006,B_THEN_A,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,4dd1980639e34c2bf253baccc6e8b8f1c5a8fde3ac2ef3f312ccc40050a88855
Q-0007,A_THEN_B,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,acae123293da43d97e83ab177db8318f42b3847aaccf5e5cc502df1799f6f464
Q-0008,B_THEN_A,True,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,c0b6ba9533d58bdc2d1afbc04eb49301886ea2dd6691d5900cbcc773b50488af
Q-0009,A_THEN_B,True,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,50084188038d53c83fde0f5e82fe843cebdb2d5c45747af2026e38d6f6dbe02b
Q-0010,B_THEN_A,False,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.2,C-0.2,build_opus_synthetic_programme_v0_2.py@0.2,20260811,True,32cbf44a238837a6921cdde8888b638a07fe63027256a793da5d3e8740249cd4
