project_id,claim_id,event_sequence,stage,event_day,event_type,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CLM-01,1,NOTICE,87,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cc94ebb02cd4e79ae0890d2a013aaaf44d7195b6e00aa5d71c1191f3ae45f026
PRJ-AIR,PRJ-AIR-CLM-02,1,NOTICE,122,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dd0a1b57a7dd907724bddf0354c6fc037955d0405ad0a974ced54044fecaea27
PRJ-AIR,PRJ-AIR-CLM-02,2,CLAIM_SUBMITTED,140,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c8e10966cee5e61391c92bfb0d71a48194bb0a2ecd239a1d1eaf0825df779a1b
PRJ-AIR,PRJ-AIR-CLM-03,1,NOTICE,157,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0ea1b5cef04a42515094e74b75814fc714ea0df01e75ea8a4c2cde02e40da57b
PRJ-AIR,PRJ-AIR-CLM-03,2,CLAIM_SUBMITTED,175,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f95ac8db20242af1c3eb8f174963a5c1f6ec71e0f1d8f2c248335e5640e03dab
PRJ-AIR,PRJ-AIR-CLM-03,3,NEGOTIATION,193,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c0d7f3c2e0d3e958671ba0c3c85c0fd16ca256402cc92119af322f297e9a365c
PRJ-AIR,PRJ-AIR-CLM-04,1,NOTICE,193,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ecc809fd1e6e0209645d0ece72b4a55486315c69225f149d9f3d9d9351202f09
PRJ-AIR,PRJ-AIR-CLM-04,2,CLAIM_SUBMITTED,211,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c2040e8f29c4f075b27439649fe65d8cda57af19b49866c57d223a97f9a12e06
PRJ-AIR,PRJ-AIR-CLM-04,3,NEGOTIATION,229,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0e0d6ce7b830c60f9839a992f5824c96131fff1ba0f1bf1c62d6bb8d078c9c9a
PRJ-AIR,PRJ-AIR-CLM-04,4,MEDIATION,247,STAGE_ADVANCE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,711ba36a2a3ce18fa54a767fc3ac949d240471f6e389ca921a1765fb314fda2f
