project_id,cost_element_id_a,cost_element_id_b,correlation,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-01,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,25fb6894573ed32d4f735f4039b57685f62fec046d13f9020e2610f37dd6079c
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-02,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ab59ec1d734fb529cd5a344b436642dd644218dfe8d12458f5985417d6e003f4
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-03,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,54a98d6174729b52b961f40f191b2f529bde508aefec409c6b6eb3ff16d33e08
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-04,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bb40e20c4fc83f35a205bc46c8d47b24fd8132efa7d6a3358f2911a1c3345014
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-05,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d7ab6cac772767be14d66fda3c1880685821fc49227712f68ee90bd91043c0ac
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-06,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,764672dbb425c5840e597948f31dea8ac694926c2148aeb6e34abb4c74d6ea79
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-07,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c12e15b75f8bc9940bcab09f666903c3e9889fcc5cf1e409923825d7e7d0b5ff
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-08,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ced30b1348da5f2d5a981e1c4b4f89ca94c70fee5872afdd3c2bd81aea4af151
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-09,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9cc4af87d626e3fb0a8adc6706a2c576666ff78ecd6250718ceefa86660bbd36
PRJ-AIR,PRJ-AIR-CE-01,PRJ-AIR-CE-10,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dd8d3e6d576e9f4f79750a3124fca5227c929b27fef98bad16d05fb947fa424c
PRJ-AIR,PRJ-AIR-CE-02,PRJ-AIR-CE-01,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2e62c9d393aa673e8cdafc7874c7e672dc412bdea23c13e70a3a532fc30651ec
PRJ-AIR,PRJ-AIR-CE-02,PRJ-AIR-CE-02,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fa7946f13214ca4d78dcd9e6fe0865b943a97cb7e5ebb14867a4e7cd10e1d92e
PRJ-AIR,PRJ-AIR-CE-02,PRJ-AIR-CE-03,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,81db8487e309baa8f39f9509509a5a9be973cb2b5f6199d30480ef64a19900ca
PRJ-AIR,PRJ-AIR-CE-02,PRJ-AIR-CE-04,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f0c4a42c446633694ff2d18542657bccc4ad0c2795db61199102ba03d520a70e
PRJ-AIR,PRJ-AIR-CE-02,PRJ-AIR-CE-05,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bcb7d0a04f924b9928c8c076810657c9f9f13563c2be2b3afd627f700adae643
PRJ-AIR,PRJ-AIR-CE-02,PRJ-AIR-CE-06,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,15975922772e66a4b1baadbc80361b5ccf5f0772544a4bd3b350cc6aa263173b
PRJ-AIR,PRJ-AIR-CE-02,PRJ-AIR-CE-07,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,335dd3131ca197e3f531a5c77a3a16d3c3f6861e171e95b869ed2deaba90e2c6
PRJ-AIR,PRJ-AIR-CE-02,PRJ-AIR-CE-08,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bf0d08c2f892af673341309939407d03a10aab52382e5943d993112a7efadc38
PRJ-AIR,PRJ-AIR-CE-02,PRJ-AIR-CE-09,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,be1560357a4abfa669456a8740d1271e567432d31e37dfc21373a0f155bbd9c0
PRJ-AIR,PRJ-AIR-CE-02,PRJ-AIR-CE-10,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,40c3c6f49d3c3844af86aa4f822528a5483c63642052f3132650510600daea4f
PRJ-AIR,PRJ-AIR-CE-03,PRJ-AIR-CE-01,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7e384b474a14476d43956d78afddb1cf040e523d76ee53c67a37b13352c5be30
PRJ-AIR,PRJ-AIR-CE-03,PRJ-AIR-CE-02,0.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,70ef0b5462b0a9043f7bc3eb4dbdd52675b644a8ffe2c6b74c8f6835a65f0b8f
PRJ-AIR,PRJ-AIR-CE-03,PRJ-AIR-CE-03,1.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a1b6747e937c1f5eca625a135e5f6eb2b7ff0d3910724f4324586e03930acddf
PRJ-AIR,PRJ-AIR-CE-03,PRJ-AIR-CE-04,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,511b08e510adc233aaa6e3f38716a08ae5f7eac1d2c971f94934791492fc6057
PRJ-AIR,PRJ-AIR-CE-03,PRJ-AIR-CE-05,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,26b97573074e5f74b6988941e29f1869b7b7db0d5add43a0084ae3697fd24bca
PRJ-AIR,PRJ-AIR-CE-03,PRJ-AIR-CE-06,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,34b8a0d3ed1db54769a464117f3e413d3adff5cb3c5c0e0aea845904f0bb1e1a
PRJ-AIR,PRJ-AIR-CE-03,PRJ-AIR-CE-07,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1ffe808d5bf38257a25c34f146a357f60cff6ab3792362931ca3438dc125fecc
PRJ-AIR,PRJ-AIR-CE-03,PRJ-AIR-CE-08,0.04,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7d65eba120d54d4221cd7184d45264dec02a87fcb66e7e58370a28ad82adb273
