project_id,period_id,ncr_issued_to_date,ncr_closed_to_date,ncr_open_at_cutoff,ncr_overdue_at_cutoff,cumulative_inspections,ncr_incidence_per_100_inspections,closure_ratio,open_ratio,overdue_open_ratio,mean_open_age_days,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,0,0,0,0,25,0.0,0.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dfa85b0c78871502da2187db40d5127475c6fd2755c8c7cbe694776cdcd81f42
PRJ-AIR,P02,1,1,0,0,53,1.88679245,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,503f5d8c5a4a4a6fb6b69e565e1ab90be056fa882e32c6fc61b35647ab4e8302
PRJ-AIR,P03,2,2,0,0,80,2.5,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d46151d6cab7909be95076305e54652df6fda2cd2ebaeabfe59a58655425c53c
PRJ-AIR,P04,2,2,0,0,110,1.81818182,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dc7b743c3084eab49c7189003591b7436eb1896f137a590c6e7a06b35144818b
PRJ-AIR,P05,3,2,1,0,143,2.0979021,0.66666667,0.33333333,0.0,14.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ba4b3eab2b97480178138555943186689f7369bd0e17d91b57be02fcf7d723b9
PRJ-AIR,P06,6,4,2,1,180,3.33333333,0.66666667,0.33333333,0.5,44.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,25974ad14430d97c39d54272e1626ec096cbc8187cc4a14255b36ce37113789d
PRJ-DCT,P01,1,0,1,0,23,4.34782609,0.0,1.0,0.0,13.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b4582e521501bc9ed7ec880348244fb182a41437b78ca919f1a9710d839565f6
PRJ-DCT,P02,1,1,0,0,48,2.08333333,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c26f6533afd4654e8a25b00d9252a7651fc1889d1b4026a16198ead5f5ceee6a
PRJ-DCT,P03,3,3,0,0,76,3.94736842,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5896f8fd161b3bfbd9e9c34a9d78752395765e13fce35b58bf86083dadee0cac
PRJ-DCT,P04,8,4,4,0,107,7.47663551,0.5,0.5,0.0,7.75,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4fb3d6f8c30ae570f83246d9129386ac7e1967746c2ac892ba40db6746e1366e
PRJ-DCT,P05,10,7,3,1,142,7.04225352,0.7,0.3,0.33333333,21.66666667,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,eb222d0d3ea9d4b3855be56ded0f2f2abc8e32844d7ed30ebf9dc44958f9cbfc
PRJ-DCT,P06,12,10,2,2,181,6.62983425,0.83333333,0.16666667,1.0,76.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f5e4ababcfd3cf48f4567656d98a02905aea11b9edc995a51f65bc972e89ad37
PRJ-HSP,P01,2,1,1,0,25,8.0,0.5,0.5,0.0,9.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,720f738169ae507075dbf250a6c392490a903782ff06537d9e65dff6cd701525
PRJ-HSP,P02,3,2,1,0,51,5.88235294,0.66666667,0.33333333,0.0,11.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8e0e71f5c1cead7d23fefac5822f4b8a80f6ee90d69edde2868a7f24021d5b54
PRJ-HSP,P03,3,3,0,0,79,3.79746835,1.0,0.0,0.0,0.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,be80a63c503a33e4bf06a49827b491a982e1a9ace4c9df779f45a8b949325f78
PRJ-HSP,P04,5,4,1,0,110,4.54545455,0.8,0.2,0.0,10.0,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e78be6e2f084df0a99555f4df5c6c74ff4e38f867a8ad709a71612342643fea3
PRJ-HSP,P05,9,6,3,2,145,6.20689655,0.66666667,0.33333333,0.66666667,12.33333333,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e6de883b42af083f1d0daf2980d1da83fe6bf76babc8856431da85bd5e25b101
PRJ-HSP,P06,12,8,4,2,185,6.48648649,0.66666667,0.33333333,0.5,38.25,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7f9d667679a41ffa0ae3d7b7f03644c9710585796f89e66c12ff5d26da5e1806
