project_id,weather_event_id,affected_activity_id,critical_at_event,productivity_loss_fraction,ground_truth_schedule_impact_days,excusable_flag,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-WX-01,PRJ-AIR-A09,True,0.053458,0.57,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bece21f26e3d90c90b6bed811fe479cf3d7409d209a01f57b299c5fd72e1435e
PRJ-AIR,PRJ-AIR-WX-02,PRJ-AIR-A05,True,0.091735,1.22,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b4d8303396dac36b054d6211da482a0464afc67b727ac8f0c25ecee0a4b56a15
PRJ-AIR,PRJ-AIR-WX-03,PRJ-AIR-A06,True,0.058573,0.47,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,44502d8577f3bd777e6ab14e6156a4b62c3ad6d45bd0a4318d766359e8d8e75c
PRJ-AIR,PRJ-AIR-WX-04,PRJ-AIR-A07,False,0.067522,0.216,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0c49d5c76e325ca5d95171439b96598229e9d279641bd6711d7396dd2b68e8b9
PRJ-AIR,PRJ-AIR-WX-05,PRJ-AIR-A04,True,0.078812,1.05,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b2b73829ab63720d7c29f280e4f2985dc21da267ac86c8b2eaba4edbb0764f3e
PRJ-AIR,PRJ-AIR-WX-06,PRJ-AIR-A08,True,0.062844,0.5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fba39996a3c243229c97aa18d3d9eb78b436c2425819e24fc400eb8e377323d3
PRJ-AIR,PRJ-AIR-WX-07,PRJ-AIR-A07,False,0.133265,0.426,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ed99bfc5a648464bb6a41ac470f3ba0b6dc3d9e2a90ff3d2eb4e82e53fb90cf6
PRJ-AIR,PRJ-AIR-WX-08,PRJ-AIR-A07,False,0.10356,0.414,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,12db3415c7a796534bb2136e1bd325d3b2dbea7acd1556fdaf4ae56163b1818f
PRJ-AIR,PRJ-AIR-WX-09,PRJ-AIR-A04,True,0.165771,1.33,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,84d7bf03b49d7a3457eff87460f0ca7ee6d488f70632444e8b496a318c75eb75
PRJ-AIR,PRJ-AIR-WX-10,PRJ-AIR-A10,True,0.046712,0.5,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2e6c7ffd19bf3d184e706bc9c761f62f21217d34e211c908ccf4ab54d1ee9452
PRJ-AIR,PRJ-AIR-WX-11,PRJ-AIR-A05,True,0.12291,1.64,True,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e054ede712e868c7fb8a68a149b3c096f5fd01bfb11050d027a06175605035c5
