project_id,node_id,node_name,node_type,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-DSM-01,DESIGN,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f1de9946689d5643ef1f82f8306eae2d5aa92b60b4596208599b208a855b10cb
PRJ-AIR,PRJ-AIR-DSM-02,PROCUREMENT,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,750fc931c1ff97a4bfed5511d5a7972fb8a2e5160fc4f16d710b80f916130152
PRJ-AIR,PRJ-AIR-DSM-03,CIVIL,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5c1849d12f128ad3ac7da97d8d1e17b9c23a279507952cca93504b1b49a93689
PRJ-AIR,PRJ-AIR-DSM-04,STRUCTURE,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,974aadd33988eec07851053da7965607626dbd56ae26c0cacee0d6a262cd8528
PRJ-AIR,PRJ-AIR-DSM-05,MEP,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,31a5c7a7d36794cf85aae03605df56a488961d77b24519d17dbf7c39a829db51
PRJ-AIR,PRJ-AIR-DSM-06,CONTROLS,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7ff26170f98d8fbb6937754b40246b7daffe6c237c9864aa8ee73f80b65187a2
PRJ-AIR,PRJ-AIR-DSM-07,TESTING,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0702b20edd05ed533e2ead06097be1fc1e4ba8d2c4041aa6db819527185aa023
PRJ-AIR,PRJ-AIR-DSM-08,TURNOVER,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,fe28c965449c4bb591f52bbccfccde21dc63de6df7801fe8e39690d5ca202d34
PRJ-HWY,PRJ-HWY-DSM-01,DESIGN,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a25ec7aa65de22785dba9c50350fa827ffdd6d0ed934c015b677db13d684543c
PRJ-HWY,PRJ-HWY-DSM-02,PROCUREMENT,WORKSTREAM,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,93aedd6484e4a672800f2f6d27b874bf52c8ba96c9a20de11b047c31d3275aae
