project_id,cost_element_id,cost_element_name,low_cost_usd,most_likely_cost_usd,high_cost_usd,correlation_group,cost_distribution_type,distribution_parameterisation,dependence_model,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CE-01,DESIGN,88020341.05,92872952.84,101695883.36,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,65b4223fc047d81d01c95049bc4f80401d88add48e7b5211baadf35c01f7fad0
PRJ-AIR,PRJ-AIR-CE-02,GENERAL_CONDITIONS,35063644.27,37431165.49,41735749.52,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e8cb801989899276a12d9b10ce67a799fc1ae5ab588295286b2dab9654e6276f
PRJ-AIR,PRJ-AIR-CE-03,CIVIL,27396036.7,29593342.37,33588443.59,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8a2fda4b0c419c219d6a2107248c84597fed2564e1d64e7decb46c3641f15b61
PRJ-AIR,PRJ-AIR-CE-04,STRUCTURE,24782700.19,27092320.51,31291630.19,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2387b050c6ad7436134792501087be5b29e3ca8b7f030cc5a41c55d4cd9fba3e
PRJ-AIR,PRJ-AIR-CE-05,ENVELOPE,32109834.64,33880068.21,37098674.69,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0af2b1a16e1c25ab6608e4d78dcf2a35c20e8c48adda053a59ab44a443b1b564
PRJ-AIR,PRJ-AIR-CE-06,MEP,24213099.99,25847985.04,28820503.32,CG-2,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,749074d8a95e13cadcf75a94528bded0e1586abe59ebc984c71657707356c244
PRJ-AIR,PRJ-AIR-CE-07,SYSTEMS,74316099.93,80276640.49,91113986.95,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,763ae6b627715cea92e82887a5643632adba9c39a19d5957a595d76dd8eaaa22
PRJ-AIR,PRJ-AIR-CE-08,PROCUREMENT,6679906.16,7302439.09,8434317.15,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,270d59f3f0c629353274670a4118b5411e8f8763b2e5d49a01b2506907a37bcf
PRJ-AIR,PRJ-AIR-CE-09,COMMISSIONING,20769377.05,21914404.7,23996273.15,CG-3,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a7e0d33411b658e09b9805454d1914fdc793c1c34e9fb8c3e39b46cdbec67715
PRJ-AIR,PRJ-AIR-CE-10,CONTINGENCY,26967797.18,28788681.27,32099379.61,CG-4,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dda91205076995115585d9c4e36ddba20f230ce75b40c120a5c15c47eec3312a
PRJ-HWY,PRJ-HWY-CE-01,DESIGN,32342124.72,33947858.42,36867374.24,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8064080a53bf2d62fcb629ed18d04d553cc5ce3b5459d24f35ff86e74c0a2163
PRJ-HWY,PRJ-HWY-CE-02,GENERAL_CONDITIONS,10685381.57,11346906.21,12549678.26,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e7c4e6dcd35822624b083e4c6ec1c637ade0f127e15a0f5a71c32f1efa426306
PRJ-HWY,PRJ-HWY-CE-03,CIVIL,9877123.38,10612574.81,11949759.24,CG-1,TRIANGULAR,LOW_MODE_HIGH,GAUSSIAN_COPULA_ON_DECLARED_CORRELATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e1222edd23779048e95166576a924e8c3f3f2596ae4d2a09c1f368a60ba0722b
