project_id,entity_id,entity_type,priority,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-ITEM-001,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,eda1f4f6c0bd522ca6fe25daa3558c60384ae7ea559a5a61ea7f7dd8162b693c
PRJ-AIR,PRJ-AIR-ITEM-002,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9c734cf2fc917ecf541f9d3a016d8037b5d5a91e2d45d5092240f36a9f4a5364
PRJ-AIR,PRJ-AIR-ITEM-003,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f8f9a42b57c4fb43d38e329314dddeb171791ed39f98a98037750532c3d7f10b
PRJ-AIR,PRJ-AIR-ITEM-004,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d384835c9cd300ec9242e3e916b77f1141995b22dc480146badf4694e48b169b
PRJ-AIR,PRJ-AIR-ITEM-005,LONG_LEAD_ITEM,CRITICAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,18bee792c56336815818116338e88fb48bd99204c3ce4dc4f73c6ee84ecfca5c
PRJ-AIR,PRJ-AIR-ITEM-006,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,416a1050f67dcd2e52043a0ecce8725ef6362945871f8fe0e6a254f0d3a78e8a
PRJ-AIR,PRJ-AIR-ITEM-007,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d097485242c8837750e3b9b26ed057883a8b27f6c221f1b2a20fce7fa12057e7
PRJ-AIR,PRJ-AIR-ITEM-008,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1837b046e57b1e860972af62e64059a7eca8c78bb42e76041a0d096ccfde5a0f
PRJ-AIR,PRJ-AIR-ITEM-009,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f563db041c903a39c7ebbcdcb41d8e3f854a0d6709a07105448a704996015722
PRJ-AIR,PRJ-AIR-ITEM-010,LONG_LEAD_ITEM,CRITICAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,987a54039a3a023f701e4c048996fe1e817eaa7b2b5140df46836762dcf60226
PRJ-AIR,PRJ-AIR-ITEM-011,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7c4f48489e7d8e88f04cad7281b33c105cf0e45ae44f2a17e9b4dce602bde2d5
PRJ-AIR,PRJ-AIR-ITEM-012,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9a35e3fe5c3591e71c9ddf76a86fe0080c76fb73b89fed27ff6df943cdc64177
PRJ-AIR,PRJ-AIR-ITEM-013,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,eb94b3992ffcf1f70be1a86956167bf8a9abf324eaeaeefa10700c097be09da8
PRJ-AIR,PRJ-AIR-ITEM-014,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d2035af782eb4e91ff7b63cdc615dec219a57784904b5de131b088724b545ae1
PRJ-AIR,PRJ-AIR-ITEM-015,LONG_LEAD_ITEM,CRITICAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,eb9a8f6b9c9908e1b216ac96b042a6404fd2c915d94505e9f5d9a79c0096d2d5
PRJ-AIR,PRJ-AIR-ITEM-016,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6ff86e38366b59fd5b8070ba4727187731a14dd3fa979c7748cd23aedbe3a2ee
PRJ-AIR,PRJ-AIR-ITEM-017,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7327d18c94e9073cbe444c4c4d0613bcb3e65c7ac7248d379a1af79c95e98646
PRJ-AIR,PRJ-AIR-ITEM-018,LONG_LEAD_ITEM,NORMAL,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e05d2238ff3b1c3439a051288a1cee32e32ebfab4940e7c75b1548417846f9ee
