project_id,chain_id,activity_id,optimistic_duration_days,most_likely_duration_days,pessimistic_duration_days,pert_sigma_days,variance_days2,buffer_sizing_method,sizing_z,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A01,4.324,5.4,6.996,0.44533333,0.19832178,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,36096cc2095f5400cab67f0efd7b13baa3b26c0109385737bd5804b18ae0d5e6
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A03,29.22,37.8,48.696,3.246,10.536516,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dc4a3e3e1ddc806317315515befbed6db6b1cef06632e3007519b9516886257e
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A04,16.166,21.3,26.601,1.73916667,3.02470069,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,32ddfb96bad216b585e845d7690d96233fcdc387166b54dd7e844126bf669ddb
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A05,25.938,33.5,43.157,2.86983333,8.23594336,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,58c7b8d21806422f9d27f6f4f4db1723d62a3298816e12beacec010b1529d2a7
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A06,38.473,48.3,62.086,3.9355,15.48816025,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,57853239ab722a832b4e75ee857bb1c36d88a19e38e016725bb54d7e871208dc
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A08,36.703,47.9,58.076,3.56216667,12.68903136,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f3ebde47c473096a9384ecf33ea7f343dc6c3b846270d0784cfce9790e9a6b0d
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A09,27.447,35.4,45.642,3.0325,9.19605625,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2bc8e14ac9121f6bd1b6c82e41147115c86ef880add0f3d74f5b9eaa987a748a
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A10,34.128,44.3,57.153,3.8375,14.72640625,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1a9b34e1855551fa1526fe24e9963c855fba7b1b73899ab8b1588dd65d3c6a24
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A11,22.278,30.3,38.001,2.6205,6.86702025,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6bae23f24342e9b750fb363933fd0326fb7134e161c82764b0c731c10c63fd44
PRJ-AIR,PRJ-AIR-CC,PRJ-AIR-A12,10.543,13.8,18.751,1.368,1.871424,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d8f94ec7fb35d84b564a48a1580d5ca69e969eb21817f76c14fcc33f243bfa0d
PRJ-AIR,PRJ-AIR-FC1,PRJ-AIR-A02,18.999,22.5,30.68,1.94683333,3.79016003,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,314132f70328c6f6f0fc5881b4c8d1a0ec15cd41d0c8f5a5c6455ebc7cac6008
PRJ-AIR,PRJ-AIR-FC2,PRJ-AIR-A07,28.096,36.0,48.325,3.3715,11.36701225,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7f08dd0b842b9bf42141b121b9173966686e4451697982f1952383ceafb3be42
PRJ-DCT,PRJ-DCT-CC,PRJ-DCT-A01,3.997,4.9,6.101,0.35066667,0.12296711,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b31b42344f3e69c3cf1c15f9db0af8885b9c3f448392d1f41e66ce37d33b32d6
PRJ-DCT,PRJ-DCT-CC,PRJ-DCT-A03,23.772,30.6,38.755,2.49716667,6.23584136,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d8a521d12471742e528cfab3e0653eb8e13d2ecba2a0a8d7a0c06b83e23848ac
PRJ-DCT,PRJ-DCT-CC,PRJ-DCT-A04,13.771,17.8,22.759,1.498,2.244004,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a49733bb83da48e63a016d7dce60ac73b16c134197cc893690e032c5f7543c1c
PRJ-DCT,PRJ-DCT-CC,PRJ-DCT-A05,17.873,22.5,28.531,1.77633333,3.15536011,RSS_PERT_VARIANCE,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,076b36c196ef3c60fb62dabdf0680e7dd96be166b52e7563aac515cbf5513a19
