case_id,case_description,component_index,component_kind,occurrence_probability,distribution_type,low,most_likely,high,hand_expectation_formula,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
MCKA-A,Deterministic collapse: low equals mode equals high,1,COST_ELEMENT,1.0,TRIANGULAR,250000.0,250000.0,250000.0,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,02904349f1569f13eb795d96b42a7a4e267d7ad7803812a5c66d8d616ffe1dc1
MCKA-B,Single triangular cost element,1,COST_ELEMENT,1.0,TRIANGULAR,100000.0,200000.0,600000.0,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6e4e3c387c8a4f44fe7290ffd3927585acd39afb2ade24a71c48c6347a74fc8c
MCKA-D,Single discrete risk event at probability one quarter,1,RISK_EVENT,0.25,TRIANGULAR,40000.0,80000.0,120000.0,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6a5dae3a6a5863c67cf69866698f02f63a9a4e99513955f00a84fac035ab58b4
MCKA-E,Three independent cost elements,1,COST_ELEMENT,1.0,TRIANGULAR,100000.0,150000.0,200000.0,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cebe06681c05681ffa73f62d53c4202e3f067915267b7942978f4ebc35d9fa92
MCKA-E,Three independent cost elements,2,COST_ELEMENT,1.0,TRIANGULAR,50000.0,90000.0,100000.0,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,824e07e6754b52d82ca28a89118562857eb397d7ad9dc66c3fc2338476f2c312
MCKA-E,Three independent cost elements,3,COST_ELEMENT,1.0,TRIANGULAR,10000.0,10000.0,40000.0,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8cd553006f5a9f5e9f9122e4cbb7a2a1956e60d679f6a68a6364fc3a907e50b5
MCKA-F,Risk event at probability zero,1,RISK_EVENT,0.0,TRIANGULAR,40000.0,80000.0,120000.0,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,25f603d99acee5e3dc8ec5abccfab1fe759c6de61c1811eee72c626dc7fba51e
MCKA-G,Risk event at probability one,1,RISK_EVENT,1.0,TRIANGULAR,40000.0,80000.0,120000.0,probability * (low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8654262a33e15dc2c6f8e3b3019c213354149086a1b75d023a4004db65a31e6c
MCKA-H,"Reproducibility pair, same seed as MCKA-B",1,COST_ELEMENT,1.0,TRIANGULAR,100000.0,200000.0,600000.0,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,71f1ba8a90fc694f146b090231ec95642bbe07a267ee5a3af57ab282b5e3210f
MCKA-I,"Different seed, same inputs as MCKA-B",1,COST_ELEMENT,1.0,TRIANGULAR,100000.0,200000.0,600000.0,(low + most_likely + high) / 3,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b2d5b6a4696110ca5451792a162e07ce802e73dd7bfe6c0ea90aa51e820be348
