project_id,entity_id,event_id,event_type,queue_id,resource_id,event_arrival_day,event_start_day,event_end_day,wait_days,service_duration_days,routing_rule,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-REVIEW,REVIEW,Q-REVIEW,REVIEW-SERVER-1,6.074264,6.074264,8.991355,0.0,2.91709,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1fa8b799bad68c1cd09c5c440fed414b305dbcb482c0ec3ee66e2e78181432db
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-FABRICATION,FABRICATION,Q-FABRICATION,FABRICATION-SERVER-1,8.991355,8.991355,26.3211,0.0,17.329746,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d5b7040f6c588ed0ea1ce208f18e98bd53961a62ac05b50618cb83e986ebf23b
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-SHIPPING,SHIPPING,Q-SHIPPING,SHIPPING-SERVER-1,26.3211,26.3211,32.520009,0.0,6.198908,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9ea6c0e21edb087a57c17e1d6262c66af172980d4d32c41ba7c4191c9181f2bd
PRJ-AIR,PRJ-AIR-ITEM-001,PRJ-AIR-ITEM-001-DELIVERY,DELIVERY,Q-DELIVERY,DELIVERY-SERVER-1,32.520009,32.520009,33.788172,0.0,1.268164,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b0a9b7a04151ad2fc0ec0f7fc3e431d433c47dc043a46c12ad5c35087bb3d4fc
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-REVIEW,REVIEW,Q-REVIEW,REVIEW-SERVER-2,5.012644,5.012644,7.93388,0.0,2.921235,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,010c4da54521f42cb9f073c5e783a266ca0e2ef100e75850bb5ca3faadfdd10d
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-FABRICATION,FABRICATION,Q-FABRICATION,FABRICATION-SERVER-2,7.93388,7.93388,20.481802,0.0,12.547922,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c63e4f9c05ec954b644256d8f4ef169497055a5f77710f7b0c273424be9d946c
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-SHIPPING,SHIPPING,Q-SHIPPING,SHIPPING-SERVER-2,20.481802,20.481802,27.495441,0.0,7.013639,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c961159077c35db54330f4b83957b8e218d2ea4735f93aba8a7718e1739499bb
PRJ-AIR,PRJ-AIR-ITEM-002,PRJ-AIR-ITEM-002-DELIVERY,DELIVERY,Q-DELIVERY,DELIVERY-SERVER-2,27.495441,27.495441,28.966475,0.0,1.471034,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4457a2912dcbdb3baed66dc155c966ab2a77fd51a539b035a9841a973d77ad00
PRJ-AIR,PRJ-AIR-ITEM-003,PRJ-AIR-ITEM-003-REVIEW,REVIEW,Q-REVIEW,REVIEW-SERVER-2,9.336677,9.336677,11.208593,0.0,1.871915,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ade944ac7829f5e9f13e322b21efd77f448202f655b840291382294e002f86b4
PRJ-AIR,PRJ-AIR-ITEM-003,PRJ-AIR-ITEM-003-FABRICATION,FABRICATION,Q-FABRICATION,FABRICATION-SERVER-3,11.208593,11.208593,24.254837,0.0,13.046245,SEQUENTIAL_PIPELINE,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bea4a9a29771a1032bdfaea131a585f025789b86e51d770efbdbc26f098474f4
