project_id,requirement_id,requirement_code,requirement_name,permit_or_rule_source,jurisdiction,severity_if_breached,applicable,effective_date,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-ENV-01,STORMWATER,Stormwater controls,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,HIGH,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,12253d551a6f0843cf68c1aadc21cba9e5a826010ea7b7f8458797614045c421
PRJ-AIR,PRJ-AIR-ENV-02,EROSION,Erosion and sediment control,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,HIGH,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,45825ff58b7e7f2a0405fb1ad82757be0fa1e9e2351a7de9c76878ae21272816
PRJ-AIR,PRJ-AIR-ENV-03,WASTE,Waste segregation and disposal,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,MEDIUM,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e6c2addd0f2090b1733c24643509bff9aad6b843bc4e45cff5da43d657ca18c3
PRJ-AIR,PRJ-AIR-ENV-04,DUST,Dust and air-quality control,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,MEDIUM,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e9c27d6b353e8f1d995f945314c9e267e1ff9791172055a0d4617d2d2e5a8c7a
PRJ-AIR,PRJ-AIR-ENV-05,NOISE,Noise and work-hour control,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,LOW,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d1e48ee8a16824d105d4889d5e0f245cbaf9932d7b27faebfec3b94734702f95
PRJ-AIR,PRJ-AIR-ENV-06,SPILL,Spill prevention and response,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,CRITICAL,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9cb162a1c201ff86f74347714dd8fc4f23c006f7c1620949210d5e818da52ea9
PRJ-AIR,PRJ-AIR-ENV-07,DEWATERING,Dewatering discharge control,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,HIGH,False,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,728d2b395d4dc4adb521447a19be76a07a7222401cdce59d7101bd3aece70b80
PRJ-AIR,PRJ-AIR-ENV-08,MATERIAL_STORAGE,Hazardous-material storage,SYNTHETIC-PERMIT-PRJ-AIR,SYNTHETIC-US,CRITICAL,True,2026-01-01,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8963040d135cb3932e3ccc4ea50bc03ab3cf7fdc0349d9be0cf681862c06013a
PRJ-DCT,PRJ-DCT-ENV-01,STORMWATER,Stormwater controls,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,HIGH,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cda12ee58b340e7b72de27add5675e6a4cac2509b3559558676b09b062853a25
PRJ-DCT,PRJ-DCT-ENV-02,EROSION,Erosion and sediment control,SYNTHETIC-PERMIT-PRJ-DCT,SYNTHETIC-US,HIGH,True,2026-04-16,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,03844d87ada3cd0b451df9a392ec3bcd5912ca53ed7aaad26e2cb3abbe6dd743
