project_id,chain_id,chain_type,feeds_into_activity_id,activity_count,variance_sum_days2,original_buffer_days,buffer_sizing_method,sizing_quantile,sizing_z,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,PRJ-AIR-CC,PROJECT,,10,82.83358019,14.97163114,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e709f5728515b512cf6d3e279a049158b2489d0014a6dd397b86027d1026b249
PRJ-AIR,PRJ-AIR-FC1,FEEDING,PRJ-AIR-A08,1,3.79016003,3.20254083,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,bfb4214f99e9c0b4ef4db11a904e6eccfe692f5f58741eba01a0ea8a985e9b47
PRJ-AIR,PRJ-AIR-FC2,FEEDING,PRJ-AIR-A12,1,11.36701225,5.5461175,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d89139fec8969a621c6ca780b4b88b3fc0222edf145f5a8f1c3891a3b5d43fa1
PRJ-DCT,PRJ-DCT-CC,PROJECT,,10,47.30447403,11.3140218,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,39c70bc015c390a9658a81ec3e490380665b776d6c6b02a0f01720472fd30a93
PRJ-DCT,PRJ-DCT-FC1,FEEDING,PRJ-DCT-A08,1,1.87005625,2.2495375,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,053ecaf9a14ce971ffda4d11955f82f7d7988193001e3a8e7f89292fe46b0f2c
PRJ-DCT,PRJ-DCT-FC2,FEEDING,PRJ-DCT-A12,1,5.175625,3.742375,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,81f14ea22879d13b4298804d8534c54e7e2648366d23b6b86fb6c7df59ec302b
PRJ-HSP,PRJ-HSP-CC,PROJECT,,10,85.19172589,15.18324537,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0f59ec27f14439ac521a8a31a1b48ac5e5d36ab84b761b5a7222612014af4abc
PRJ-HSP,PRJ-HSP-FC1,FEEDING,PRJ-HSP-A08,1,2.70164011,2.70383167,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d10ee02d1344ec69cc1a2f1b06a1786e0004af4e0141e41b8700ac7c8bde5b1b
PRJ-HSP,PRJ-HSP-FC2,FEEDING,PRJ-HSP-A12,1,8.46519025,4.7861275,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d49e33ed3a3728556be2ce2062310cd81eeb6fbd0b2783370202fbdd7246ef0c
PRJ-HWY,PRJ-HWY-CC,PROJECT,,10,54.86160975,12.18428855,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b403ad9e44773ea98f3d0861b1155a3892cc1d91b976d0d19fbb436db78709fe
PRJ-HWY,PRJ-HWY-FC1,FEEDING,PRJ-HWY-A08,1,2.99520711,2.84694667,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,390a82ffced7a5b74c63c971eaeb7331bd982f873863dac86327c9c8a7c24e28
PRJ-HWY,PRJ-HWY-FC2,FEEDING,PRJ-HWY-A12,1,7.21907336,4.41984083,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c2e206b089c67ca649f280be112c785e373291259e7c8dbe9f1b2244cc51eb08
PRJ-RAL,PRJ-RAL-CC,PROJECT,,10,68.30715911,13.59561989,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4ed8b076d6dbfac41f57f3ca86ae93eda032f318ec5ee7c604b618520fb7cd82
PRJ-RAL,PRJ-RAL-FC1,FEEDING,PRJ-RAL-A08,1,2.96471003,2.83241583,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d05aa62d92fb527d14a8f1382891edd14922407c1bb4cfda437ed52732a4c958
PRJ-RAL,PRJ-RAL-FC2,FEEDING,PRJ-RAL-A12,1,6.95640625,4.3386875,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,69c48483b30f57f75ff259acaff40d61a2cdc173179ed5c21604c3691be55dfb
PRJ-WTR,PRJ-WTR-CC,PROJECT,,10,45.42856047,11.08741721,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c530bf9652789af65934f12aa7c2ffc9d9a157f32f84d0d6094e20dcda0b8927
PRJ-WTR,PRJ-WTR-FC1,FEEDING,PRJ-WTR-A08,1,2.36749511,2.53110667,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7b0780dbd2002d940c3aae50cdc90e782249fdc00192e18934f4b37f35e03c1a
PRJ-WTR,PRJ-WTR-FC2,FEEDING,PRJ-WTR-A12,1,6.574096,4.21778,RSS_PERT_VARIANCE,P95_ONE_SIDED,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c00a0d55fa9277682aed237f8a0d125aa5684f6ed51f744672ffde7729b8769f
