project_id,period_id,assessment_id,requirement_id,assessment_date,result,evidence_code,reviewer_role,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-ENV-01-P01,PRJ-AIR-ENV-01,2026-02-27,COMPLIANT,ENV-EVID-PRJ-AIR-P01-01,ENVIRONMENTAL_COMPLIANCE_REVIEWER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d807bf4292e5b65e92efe5762053d8d56d1b36a42bf24f9ac6c32b4e99258d66
PRJ-AIR,P01,PRJ-AIR-ENV-02-P01,PRJ-AIR-ENV-02,2026-02-27,COMPLIANT,ENV-EVID-PRJ-AIR-P01-02,ENVIRONMENTAL_COMPLIANCE_REVIEWER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d87bf747536ea81f7925f4f6e7c89e243bc3819f013ac7d308156686869ced05
PRJ-AIR,P01,PRJ-AIR-ENV-03-P01,PRJ-AIR-ENV-03,2026-02-27,COMPLIANT,ENV-EVID-PRJ-AIR-P01-03,ENVIRONMENTAL_COMPLIANCE_REVIEWER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3cefa5ac71a731c2e5ae5611f3fbeccf025872e64a31151304251d761bbeaad0
PRJ-AIR,P01,PRJ-AIR-ENV-04-P01,PRJ-AIR-ENV-04,2026-02-27,COMPLIANT,ENV-EVID-PRJ-AIR-P01-04,ENVIRONMENTAL_COMPLIANCE_REVIEWER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ce6b951511028ac290f6170cb73dbef467dc931ed87dc28d74f85aa7f417ae03
PRJ-AIR,P01,PRJ-AIR-ENV-05-P01,PRJ-AIR-ENV-05,2026-02-27,COMPLIANT,ENV-EVID-PRJ-AIR-P01-05,ENVIRONMENTAL_COMPLIANCE_REVIEWER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,38b4baa4ccd436f4bf117940b7b2fe84c0721b8e8cdb00b9caef026faa0755f6
PRJ-AIR,P01,PRJ-AIR-ENV-06-P01,PRJ-AIR-ENV-06,2026-02-27,COMPLIANT,ENV-EVID-PRJ-AIR-P01-06,ENVIRONMENTAL_COMPLIANCE_REVIEWER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b0dcbcf81a42a6e8f6301ecc66b17d478b818fb93976859931902079ff78fcb8
PRJ-AIR,P01,PRJ-AIR-ENV-07-P01,PRJ-AIR-ENV-07,2026-02-27,NOT_APPLICABLE,ENV-EVID-PRJ-AIR-P01-07,ENVIRONMENTAL_COMPLIANCE_REVIEWER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f6ee93e7960231d7e45434ee883133fecf4cc5e29ae1d88a86e327d67b5edb42
PRJ-AIR,P01,PRJ-AIR-ENV-08-P01,PRJ-AIR-ENV-08,2026-02-27,NONCOMPLIANT,ENV-EVID-PRJ-AIR-P01-08,ENVIRONMENTAL_COMPLIANCE_REVIEWER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7409d2d6388863eff8a0c4a94f3a9cc503a0450891e571171041fde27b3ce854
PRJ-AIR,P02,PRJ-AIR-ENV-01-P02,PRJ-AIR-ENV-01,2026-04-27,COMPLIANT,ENV-EVID-PRJ-AIR-P02-01,ENVIRONMENTAL_COMPLIANCE_REVIEWER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e753103ed0ada04875312d3d29a7b0873b78589c5f86a888ebc1f6852620ca04
PRJ-AIR,P02,PRJ-AIR-ENV-02-P02,PRJ-AIR-ENV-02,2026-04-27,COMPLIANT,ENV-EVID-PRJ-AIR-P02-02,ENVIRONMENTAL_COMPLIANCE_REVIEWER,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2b85191a8d016422176667e3be92991e42784c3224254642445ad87d89c52f28
