project_id,period_id,leading_work_type,following_work_type,leading_rate,following_rate,catch_up_location,interference_within_project,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-HWY,P01,EARLY_WORK,STRUCTURE,0.232027,0.167813,-10.914586,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,655317c780fd34a85dc08b5b8cb23a6d1c89622906e068dd3fde7ef65ecc13d1
PRJ-HWY,P01,STRUCTURE,SYSTEMS,0.167813,0.159846,-67.33624,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8ff218009dd5d4c34185f5db4f35fcc3b8e4f0e70880a0b399fdf1737d92bc9a
PRJ-HWY,P01,SYSTEMS,FINISH,0.159846,0.209413,16.207846,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,01885aa9f63df7b1f4f23b5d7f5ecee80b5848d7f9e85f6df0f49159d02d2ddd
PRJ-HWY,P02,EARLY_WORK,STRUCTURE,0.206778,0.182297,-27.714791,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5056821917426c0b0f4b5229990d352d3983cac316faadba5eb51e1e9b0ad9e5
PRJ-HWY,P02,STRUCTURE,SYSTEMS,0.182297,0.160764,-27.220908,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,efd719218cc22ebfa2ce816c58d023a687d9aaba0bfbc5a4ccba62ba35c8b780
PRJ-HWY,P02,SYSTEMS,FINISH,0.160764,0.192646,23.313981,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,be5c5b3e96196530286ad3d77fa236a8e4e16e0551a7cf87a37f1810c0eaa10b
PRJ-HWY,P03,EARLY_WORK,STRUCTURE,0.239972,0.181905,-13.531641,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2715b9ead79223df9465f4b066dd6a3db9656dc806c059808091fe63256ec72c
PRJ-HWY,P03,STRUCTURE,SYSTEMS,0.181905,0.171288,-58.695758,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,205bdc1dc9f37012ff6494bc8f64c4b07eb269597e9dc1cf0890e116968730a4
PRJ-HWY,P03,SYSTEMS,FINISH,0.171288,0.174183,247.351905,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a579610e4bc38f4a5e0923c4dab9b65856a5ec680df4d1dabe44eee503dba04d
PRJ-HWY,P04,EARLY_WORK,STRUCTURE,0.227695,0.185652,-18.097904,False,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cac017975beb38204418ae088f028c1d39ffb899161b2716f1d244b57a806f5c
