project_id,period_id,buffer_id,buffer_type,chain_id,original_buffer_days,remaining_buffer_days,chain_progress_fraction,buffer_sizing_method,variance_sum_days2,sizing_z,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
PRJ-AIR,P01,PRJ-AIR-CC-BUFFER,PROJECT,PRJ-AIR-CC,14.97163114,8.18783504,0.2363974,RSS_PERT_VARIANCE,82.83358019,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5fb882abd558252fddc6ecf7f2dee909a51ef6823899f11432f00c55463073c2
PRJ-AIR,P01,PRJ-AIR-FC1-BUFFER,FEEDING,PRJ-AIR-FC1,3.20254083,0.0,0.909974,RSS_PERT_VARIANCE,3.79016003,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2cda267cca59aafe22271d00db53aeff88a4678081b5f3b62ddefa6d3b963192
PRJ-AIR,P01,PRJ-AIR-FC2-BUFFER,FEEDING,PRJ-AIR-FC2,5.5461175,3.5063583,0.0,RSS_PERT_VARIANCE,11.36701225,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6a920a8a671b0c15c19c5ba651fee00512bb7e461f85e851ef87210840ddaa9b
PRJ-AIR,P02,PRJ-AIR-CC-BUFFER,PROJECT,PRJ-AIR-CC,14.97163114,6.7708641,0.3932128,RSS_PERT_VARIANCE,82.83358019,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,12669ee2385e40a7afb93c5e07bc18b93b7953af63196eafd0019b7a820cbcf5
PRJ-AIR,P02,PRJ-AIR-FC1-BUFFER,FEEDING,PRJ-AIR-FC1,3.20254083,0.0,0.949332,RSS_PERT_VARIANCE,3.79016003,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,efa5bae18c3e5bdbfc0e6ef79d1f3ffa59237553f84ff6a0841991664a8a38b2
PRJ-AIR,P02,PRJ-AIR-FC2-BUFFER,FEEDING,PRJ-AIR-FC2,5.5461175,3.5235379,0.0,RSS_PERT_VARIANCE,11.36701225,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,09fb457a700c293d8c3f084d011f96b01aac9d2853933a09e00e15eecc296485
PRJ-AIR,P03,PRJ-AIR-CC-BUFFER,PROJECT,PRJ-AIR-CC,14.97163114,6.86118411,0.4951319,RSS_PERT_VARIANCE,82.83358019,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,cdb093af9995375838ccafc70ab9888f84a3733272d8a8d8c930d960fd0b7353
PRJ-AIR,P03,PRJ-AIR-FC1-BUFFER,FEEDING,PRJ-AIR-FC1,3.20254083,0.17520855,0.953256,RSS_PERT_VARIANCE,3.79016003,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0e9d73c3b85b7a758cb9302806fe9a1a3ea12bb0c57013e1e75abe3f50177aec
PRJ-AIR,P03,PRJ-AIR-FC2-BUFFER,FEEDING,PRJ-AIR-FC2,5.5461175,3.73220443,0.09464,RSS_PERT_VARIANCE,11.36701225,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c3373fe0266362eb2cfd92a58f32e14925c3a5804a6d2a85af8fe60f79a5c0be
PRJ-AIR,P04,PRJ-AIR-CC-BUFFER,PROJECT,PRJ-AIR-CC,14.97163114,5.04035033,0.5776572,RSS_PERT_VARIANCE,82.83358019,1.645,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,A-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,027831ab1142285e0182934f9ee97c95816bac5875660a9083f1bdc444b35b4b
