reference_project_id,period_number,progress_fraction,cpi,spi,document_risk_score,rfi_open,change_order_count,quality_findings,procurement_items_at_risk,split,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,1,0.125,1.047809,1.001908,0.214064,8,1,3,1,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a5c6c126be95121b397fe53ae39d4bd912767d0a5cdf78af88b1e56bf0608d5c
REF-0001,2,0.25,0.950606,0.975198,0.193765,1,2,1,2,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,84a92643b3d8961f26aff833f492085d483d343549e3a26a5ecb027ee883c858
REF-0001,3,0.375,0.911993,0.92048,0.254141,2,2,1,1,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,542c233facebd88e4f6d3f88df1b26a0007a16a8dbe587b73e84f1fca04bb337
REF-0001,4,0.5,0.938428,0.915285,0.201724,5,3,4,0,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9e7da34deef4c997066482db83a96bc08c86bb67d56478f12360e12d0f4bf3b4
REF-0001,5,0.625,0.889475,0.89393,0.239477,9,4,3,3,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,1ba29d6a6336da7b2364e46c7e4d3760b08548f40c8fd9a6cf7ee8f85f59f1f7
REF-0001,6,0.75,0.861493,0.884559,0.218802,6,1,1,3,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,448a2f5bb34cc8db12f3ccfbeea4054ed83480a3c959a4e955d47ec1fd940608
REF-0001,7,0.875,0.888788,0.855045,0.283116,15,5,0,3,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,003878d1419ad09b7018fecf1c9f8cb7898cb3bd4c6d6824a2f4c003133dc2c5
REF-0001,8,1.0,0.798446,0.834427,0.246608,6,3,1,1,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5919cbcbb5b549b8ec3c5b1f42a5b750937fb4706c5e3d60b7c90fc0d3fdc389
REF-0002,1,0.125,0.982965,1.042095,0.180356,4,1,0,2,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,95d0ffbe2d7d56bba3da756bc23cff8ca32ae0bbed7e411b3370ef8d2d88c36a
REF-0002,2,0.25,0.931089,0.954191,0.173879,2,1,0,3,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0ae52284cdab6da869f341cef228cc2b68aa5427dd8a6c584b83658292ccb436
