reference_project_id,complexity_band,early_cpi_band,early_spi_band,document_risk_band,decision_class,split,data_origin,programme_version,package_version,generator_version,random_seed,not_for_empirical_validation,record_hash
REF-0001,MEDIUM,MID,MID,LOW,RED,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,e877b74eeacbf64a6a06e9cfedf27ca403eb1838a05756f2d5624bed4c16f1fb
REF-0002,MEDIUM,MID,MID,LOW,RED,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,48cfe4673c91b38eabbd90b93aff9b0b1dfb470f61f80775b7ba98ca978dd7d8
REF-0003,MEDIUM,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5adc2dbf8a677bbb0b301c6f1b04e3ec0f2d32825b3a327f8cca8dafcc6401e3
REF-0004,LOW,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,dfae47e671eee92319dd7cd8d1aeaf0dd4847480f3f4ade3099b50b6a541038b
REF-0005,MEDIUM,MID,MID,LOW,AMBER,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2db99da075e432ba1b028757a3a0410a74f60094f3390fba63cd56b7a75fac94
REF-0006,MEDIUM,MID,MID,LOW,GREEN,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,77a038804480462372e1b9145e0fee5e1711107afe54629d765ffd1154b76ea8
REF-0007,HIGH,MID,LOW,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,73169e504e079f470b8ad9751721624bca43a41d5b4aae7341b646133b91142a
REF-0008,LOW,LOW,LOW,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5b411b644ec734adc460bd79231b9502b806ad8665ef74b1b5daee7b7418e947
REF-0009,HIGH,MID,LOW,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2690585905b6497e22ca59447796ee61b5fd1d0eab91452a8d39a4b10e0f60eb
REF-0010,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,edb4fd1e709e8bb4596e26be5e245a9e16c04f491e2dc4b39729301739d93fd1
REF-0011,MEDIUM,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,278a88a8ab540d9047d7803967d3033b7522af07488dc3e0a8c1d2454db63695
REF-0012,LOW,MID,MID,LOW,RED,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0c9eb1d47a63b1aed60f7c81742a4635d476c3a47abf02c910390bc99c91561d
REF-0013,LOW,LOW,MID,LOW,RED,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,84cde93350820828f019267d57f9fe36ae9b3dad55c13101dd58d9e43d08c489
REF-0014,MEDIUM,MID,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,944f69ff66427000130eea41257cc58c1237f163f5e988d2d8d941049032eeb5
REF-0015,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,2ab68f2a6bd4c52c22c17ef6872ae2955620f8c077490672627e348f9e98c656
REF-0016,HIGH,MID,MID,LOW,RED,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,0e818169118c78914e0d391f072b73690fbea6e69a4f711e9976f759d0f33754
REF-0017,LOW,LOW,LOW,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,302ff5b0c3e6aa8a8084ab64355302df2c1ae72cd1135d62d388a896c02bbfe5
REF-0018,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c638d6d4c13ee2182f67192a88daf8a6310ae7586ca28545af33b3f77702d764
REF-0019,LOW,MID,MID,LOW,RED,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f0e88596b542387fe330aa323ebbc11bdf007204b3edd0c5078a026ccb524904
REF-0020,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f017be9cd3f5b4506293754e07ca7fa8f3c4c4eed38c1979b6ab50ab358ead19
REF-0021,MEDIUM,MID,MID,LOW,AMBER,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,d82b4f78ec256c6ec7aa4cfbe128288b940fc8d86ada1c8ad50807b6f3d8e9c8
REF-0022,MEDIUM,MID,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,8b3703f02fa4036925e814721eeb2cdcfb45082f597c9d36c0e1e09b7dd1ca53
REF-0023,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b57c4c661402bcf0f06ad702b3892d8b4507d6961f9e2ad33ff298ae575c8b87
REF-0024,MEDIUM,MID,HIGH,LOW,AMBER,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,f1b5af71382ee53419c6c6ad5f9cc68669ca7c2ef693d587a4c3fea6abd379a0
REF-0025,HIGH,LOW,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9f5e9588c2148e42ba84092fcb64362c7c9b4327ce4e640e079c1fb8a7464d53
REF-0026,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6c060a5ad51212f480f1ce5f870aef4aff33730772fb937f4cb75994413c4105
REF-0027,HIGH,MID,MID,LOW,RED,VALIDATION,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,13838efa4c8e16369e2f0ca5ad75fc2f0d20cf573c0a3975ce0f2443260851ea
REF-0028,MEDIUM,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,4ff8f17c7767f84f1b2d2712aa1d6e1f320f015af6152bc88e4184848fa8887c
REF-0029,MEDIUM,MID,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,db279c14bb7c524cf078cb4b7ad52bc7295f6960682ec0a83719ace6c4f0ea2c
REF-0030,LOW,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,a6089bec3e7728efa6fa5c0efe16e43cf17228a51c4011997682ade9d8964d77
REF-0031,MEDIUM,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,db247531e3d46b8713243bbb5b5cc1e94989e684373821953fcf53694feff649
REF-0032,MEDIUM,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,294aa000f3735533bdbb431781a5965cb142798cb527d1a5690c15168ec98784
REF-0033,MEDIUM,MID,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,b1d842f3d1d7febd362b02dbc02205ebcdbafe0c8b20ac14eac59462bb4e39da
REF-0034,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,46b0437d84db2b208a5f443e552601cd22e99ca810e69ac96bb25be88bbc93c6
REF-0035,MEDIUM,MID,MID,LOW,AMBER,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,faadb5129c79e5224d8d9eedbc2914a91a3a520dd2464ad735f675cdd6124504
REF-0036,LOW,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,ba14f675b02c544a2e253f895e5338f7d650c0dd6ed87e4602612166026c6085
REF-0037,MEDIUM,MID,MID,LOW,AMBER,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,c01546845f21bc50dc32f2e33ef0aa0fb6e1f700894ff80db842b062e6c238f1
REF-0038,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,7f750e0e4f75832dd5cd02cf41f303cc267ddecfce371b45d160f995d798e97a
REF-0039,MEDIUM,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,68f70b0de0bffff8b61c46984c4710f6c9537cef19df4cb0a83c8702b6055f91
REF-0040,HIGH,MID,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,6676baed2cf2675040b40d330f5b2f28fc3f21602ae0b6a5731f447f55452c83
REF-0041,HIGH,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,091b6b8de8600574e23fba69a49eead1b942a009fa183a11909f02bbca508c39
REF-0042,HIGH,LOW,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,5998e399d3072720f5e9abe263bbac87b4bfd2c5f5d9a405c764258527cb12c9
REF-0043,MEDIUM,LOW,LOW,MEDIUM,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,3f884d50b6d087fc71e4a6789d3bdc9de22b53ef03c1f0c4d7ef4498b6fa26b4
REF-0044,MEDIUM,MID,MID,LOW,AMBER,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,90b97355a1aa54275113dd425259f74ecb555d55c49163d5cda191e2e93ebab2
REF-0045,HIGH,MID,MID,LOW,AMBER,LOCKED_HOLDOUT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,713b3f0261a96b01dd6f831ab5a791b8b2fccbc76943eea5399c3d86c0ae7ef2
REF-0046,HIGH,MID,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,98b313f4ccbf644f6f487833618dda228f8d96eddf80e064ced3b389c6208cd5
REF-0047,HIGH,LOW,MID,LOW,RED,DEVELOPMENT,SYNTHETIC_RESEARCH_FIXTURE,OG-SYNTH-0.3,B1-0.3,build_opus_synthetic_programme_v0_3.py@0.3,20260812,True,9243276fd118776a4189626bd1c63752f2c5dc0d0d190a446cae28ac8c5e1028
